Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,1098,49480,688,43,1150.697674,71.918605,19792,3,1849,49480,688,117,422.905983,71.918605,1000,8
2,1,1126,49480,685,43,1150.697674,72.233577,19792,4,1559,49480,345,115,430.260870,143.420290,1000,16
3,1,1109,49480,686,43,1150.697674,72.128280,19792,4,1323,49480,233,119,415.798319,212.360515,1000,17
4,1,1127,49480,685,40,1237.000000,72.233577,19792,4,1185,49480,177,117,422.905983,279.548023,1000,18
5,1,1096,49480,687,40,1237.000000,72.023290,19792,4,1107,49480,141,106,466.792453,350.921986,1000,29
6,1,1117,49480,689,40,1237.000000,71.814224,19792,4,1021,49480,119,106,466.792453,415.798319,1000,26
7,1,1128,49480,694,40,1237.000000,71.296830,19792,3,980,49480,103,102,485.098039,480.388350,1000,28
8,1,1129,49480,689,40,1237.000000,71.814224,19792,4,929,49480,90,110,449.818182,549.777778,1000,29
9,1,1133,49480,696,38,1302.105263,71.091954,19792,5,915,49480,81,117,422.905983,610.864198,1000,30
10,1,1116,49480,695,38,1302.105263,71.194245,19792,4,895,49480,73,115,430.260870,677.808219,1000,36
15,1,1116,49480,707,38,1302.105263,69.985856,19792,4,829,49480,50,109,453.944954,989.600000,1000,41
20,1,1129,49480,708,39,1268.717949,69.887006,19792,3,766,49480,38,114,434.035088,1302.105263,1000,46
25,1,1139,49480,722,40,1237.000000,68.531856,19792,3,764,49480,31,118,419.322034,1596.129032,1000,50
30,1,1139,49480,725,39,1268.717949,68.248276,19792,4,716,49480,27,115,430.260870,1832.592593,1000,71
35,1,1145,49480,732,41,1206.829268,67.595628,19792,3,715,49480,23,110,449.818182,2151.304348,1000,70
40,1,1151,49480,744,41,1206.829268,66.505376,19792,4,703,49480,21,119,415.798319,2356.190476,1000,81
45,1,1165,49480,752,43,1150.697674,65.797872,19792,3,665,49480,19,131,377.709924,2604.210526,1000,92
50,1,1178,49480,765,43,1150.697674,64.679739,19792,4,678,49480,17,116,426.551724,2910.588235,1000,84
