Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,62,6366,18,35,181.885714,353.666667,9245,9,622,6366,18,517,12.313346,353.666667,5000,141
2,1,73,6366,24,35,181.885714,265.250000,9245,9,622,6366,13,501,12.706587,489.692308,5000,161
3,1,86,6366,32,35,181.885714,198.937500,9245,9,623,6366,12,501,12.706587,530.500000,5000,262
4,1,95,6366,39,35,181.885714,163.230769,9245,9,622,6366,11,501,12.706587,578.727273,5000,282
5,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,11,501,12.706587,578.727273,5000,285
6,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
7,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
8,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
9,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
10,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
15,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
20,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
25,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
30,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
35,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
40,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
45,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
50,1,99,6366,43,35,181.885714,148.046512,9245,9,623,6366,10,501,12.706587,636.600000,5000,290
