Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,2408,30,0,21.309734513274336,8.960308953157265,44,70,1000
1,7639,143,0,11.217327459618215,15.103361309557021,95,182,1000
2,11791,172,0,15.332899869960993,19.193056254194637,116,243,1000
3,12821,132,0,16.52190721649485,19.899996031036064,111,229,1000
4,12287,159,0,16.317397078353252,19.966632474323884,106,221,1000
5,12431,128,0,16.464900662251647,20.225906512540913,105,214,1000
6,12930,169,0,16.640926640926647,21.136242464827646,108,219,1000
7,12546,165,0,16.209302325581405,20.044391001926353,111,234,1000
8,11194,100,0,15.025503355704707,17.465731248918964,110,234,1000
9,10670,108,0,14.778393351800561,18.72275803474435,96,191,1000
10,11223,165,0,15.024096385542174,18.558637101877096,109,225,1000
11,11813,129,0,15.401564537157775,18.781911681889888,109,229,1000
12,12368,140,0,16.338177014531055,20.830489541917295,102,209,1000
13,12642,153,0,16.228498074454425,20.30371346936821,108,227,1000
14,12547,140,0,16.27367055771725,19.69366881955833,111,226,1000
15,12261,123,0,15.985658409387224,19.701719658363327,106,220,1000
16,12012,147,0,15.805263157894741,19.54701702986843,106,215,1000
17,11886,159,0,15.701453104359306,18.672565975460284,111,229,1000
18,11600,127,0,15.203145478374841,18.24992404438411,111,235,1000
19,10878,120,0,14.446215139442236,17.636401235930105,103,224,1000
20,9450,136,0,13.01652892561982,16.477855637727338,102,221,1000
21,6834,109,0,9.890014471780017,11.387613478004427,109,232,1000
22,3766,52,0,6.897435897435898,6.7609586761533995,100,206,1000
23,1494,15,0,4.788461538461538,3.608688364091152,72,141,1000
24,401,8,0,2.6381578947368425,1.5117611417610202,44,85,1000
25,68,3,0,1.2142857142857142,0.5943456513231615,19,36,1000
26,6,1,1,1.0,0.0,4,5,1000
