Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,2784,247966,1173,124,1999.725806,211.394714,19792,5,5601,247966,1173,189,1311.989418,211.394714,1000,14
2,1,2789,247966,1176,125,1983.728000,210.855442,19792,5,4909,247966,589,183,1355.005464,420.994907,1000,22
3,1,2801,247966,1177,123,2015.983740,210.676296,19792,5,4392,247966,393,203,1221.507389,630.956743,1000,30
4,1,2798,247966,1175,124,1999.725806,211.034894,19792,5,4068,247966,295,177,1400.937853,840.562712,1000,33
5,1,2831,247966,1180,137,1809.970803,210.140678,19792,5,3870,247966,237,208,1192.144231,1046.270042,1000,33
6,1,2839,247966,1184,137,1809.970803,209.430743,19792,5,3739,247966,198,233,1064.231760,1252.353535,1000,39
7,1,2850,247966,1187,137,1809.970803,208.901432,19792,5,3663,247966,171,180,1377.588889,1450.093567,1000,44
8,1,2834,247966,1185,136,1823.279412,209.254008,19792,5,3502,247966,149,201,1233.661692,1664.201342,1000,48
9,1,2822,247966,1185,127,1952.488189,209.254008,19792,5,3469,247966,133,198,1252.353535,1864.406015,1000,50
10,1,2802,247966,1191,127,1952.488189,208.199832,19792,6,3395,247966,120,237,1046.270042,2066.383333,1000,54
15,1,2845,247966,1201,136,1823.279412,206.466278,19792,6,3192,247966,81,232,1068.818966,3061.308642,1000,68
20,1,2845,247966,1209,132,1878.530303,205.100083,19792,5,3160,247966,62,209,1186.440191,3999.451613,1000,94
25,1,2853,247966,1220,134,1850.492537,203.250820,19792,5,3093,247966,50,232,1068.818966,4959.320000,1000,109
30,1,2836,247966,1234,133,1864.406015,200.944895,19792,5,3046,247966,42,237,1046.270042,5903.952381,1000,120
35,1,2884,247966,1242,134,1850.492537,199.650564,19792,5,3045,247966,37,237,1046.270042,6701.783784,1000,131
40,1,2910,247966,1255,135,1836.785185,197.582470,19792,5,3039,247966,33,243,1020.436214,7514.121212,1000,161
45,1,2915,247966,1268,126,1967.984127,195.556782,19792,5,3029,247966,29,252,983.992063,8550.551724,1000,154
50,1,2929,247966,1282,136,1823.279412,193.421217,19792,5,3033,247966,27,254,976.244094,9183.925926,1000,172
