Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,59,4926,23,12,410.500000,214.173913,19792,5,124,4926,23,20,246.300000,214.173913,1000,13
2,1,62,4926,26,11,447.818182,189.461538,19792,4,113,4926,13,19,259.263158,378.923077,1000,24
3,1,67,4926,28,12,410.500000,175.928571,19792,4,106,4926,10,28,175.928571,492.600000,1000,26
4,1,74,4926,31,13,378.923077,158.903226,19792,5,98,4926,8,21,234.571429,615.750000,1000,33
5,1,77,4926,34,13,378.923077,144.882353,19792,4,102,4926,7,26,189.461538,703.714286,1000,40
6,1,76,4926,37,12,410.500000,133.135135,19792,4,97,4926,7,27,182.444444,703.714286,1000,44
7,1,83,4926,40,12,410.500000,123.150000,19792,4,102,4926,6,28,175.928571,821.000000,1000,50
8,1,90,4926,43,12,410.500000,114.558140,19792,5,101,4926,6,30,164.200000,821.000000,1000,52
9,1,89,4926,46,12,410.500000,107.086957,19792,4,100,4926,6,30,164.200000,821.000000,1000,54
10,1,96,4926,49,12,410.500000,100.530612,19792,4,103,4926,5,30,164.200000,985.200000,1000,56
15,1,118,4926,64,12,410.500000,76.968750,19792,4,114,4926,5,30,164.200000,985.200000,1000,62
20,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
25,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
30,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
35,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
40,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
45,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
50,1,126,4926,72,12,410.500000,68.416667,19792,4,117,4926,4,30,164.200000,1231.500000,1000,66
