Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,90,5304,24,72,73.666667,221.000000,2302,11,361,5304,24,333,15.927928,221.000000,2000,52
2,1,103,5304,34,72,73.666667,156.000000,2302,10,362,5304,18,331,16.024169,294.666667,2000,99
3,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,15,331,16.024169,353.600000,2000,98
4,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
5,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
6,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
7,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
8,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
9,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
10,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
15,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
20,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
25,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
30,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
35,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
40,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
45,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
50,1,110,5304,41,72,73.666667,129.365854,2302,10,361,5304,13,331,16.024169,408.000000,2000,102
