0,3837,4326,3726,2292,2430
0,1556,446,88,2553,4049
0,823,813,4521,3634,3064
0,121,141,3753,1564,607
0,4882,1538,3753,4186,3981
0,1724,2771,3931,95,2150,2944
0,124,1238,88,2516,1389,3973
0,2408,2865,4613,88,453,4013,1646,2667
0,2803,659,2611,2553,60,3533,3270
0,4808,2762,3753,4970,4126,2372
0,3734,4635,2553,235,2206
0,4396,2095,4604,1865,720,3503,734,2525
0,2145,3931,2905,847,2063
0,1451,1999,1640,88,1373,3705
0,2606,756,1766,1886,41,3044,3782,4327
0,1809,3972,3753,1797,1986,4311,3939,279
0,2509,1108,2553,3354
0,923,3652,3753,3085,4407
0,2040,2935,4521,4183,3898,3042
0,2915,4207,3666,3634,4244,1678
0,872,4613,3753,4442,2656,4159
0,2803,659,1433,4858,566,4940
0,1111,1593,1310,4613,4756
0,3602,3997,2553,7,4667,4557
0,2901,2553,3753,2270,731
0,1870,3503,720,1865,3599,3357
0,4115,525,354,1108,2748
0,1996,4372,2233,2553,4139,194,2428,1276,3329
0,2740,3256,3753,640,2735,1814
0,1158,4662,1740,2553,88,3663,3769
0,617,97,3469,1723,3753,3377,1760,2791
0,2329,2553,37,4090,4222,2911
0,3832,2028,3931,2553,1274,3638
0,3720,246,1865,1208,2580
0,4281,2553,246,2301,3589
0,2672,4943,3753,4990,3423,4986
0,63,4500,283,1108,4542
0,3920,1076,798,1546,4521,3421,4609,2325,111,1676
0,3171,38,88,885,861,630
0,1417,4472,4151,2735,2553,4613,4756
0,1633,3972,88,4521,3421,4609,2325,111,1676
0,2936,1108,367,3931,2498
0,2438,948,885,88,4043,4919,4351
0,1974,4521,4869,2384,223
0,2358,2326,64,1383,3715,3640
0,4437,3687,88,358,2493
0,822,4098,4521,1416,4126,2372
0,331,3170,88,3753,1846,4055
0,3981,4186,1310,1383,1463,1677,2075
0,4661,4454,3753,4186,2654,2643
0,1757,1395,2553,4820,2828
0,4078,2041,3065,3753,3595
0,629,88,1238,124
0,590,3801,1310,4425,252,1164,2920
0,2683,2817,3218,3100,3931,4836
0,4571,1369,3753,1846,4055
0,1372,4184,1797,4500,4118,4523,3829,3263
0,955,2374,3061,2553,3208,77
0,3289,4525,3972,246,380,1180
0,4834,1999,1640,88,38,2277,531
0,3863,2334,1593,4326,4294
0,2281,2517,3753,651
0,1089,2419,1310,4521,2930
0,531,2277,38,88,2693
0,387,2884,4244,246,3882,143
0,1158,4662,1740,3095,2470,32
0,1500,1886,1723,3753,4906,4337
0,2416,3753,2553,1461,2357,4403
0,4355,1328,636,1108,3753,416
0,3696,2880,2566,2553,2326,3467,4237
0,3933,2293,3753,1208,4412,482
0,54,2825,1127,3753,4509
0,2355,1108,1310,4613,911,3053
0,4539,3718,1820,4231,885,246,1492
0,4473,4178,4663,64,3753,1588,398
0,535,1628,386,2553,1865,1771,4929
0,4691,2202,1108,3503,1870
0,470,520,4635,3753,2670
0,855,2597,3577,621,2553,4156,3432,2706
0,45,670,1723,885,3081
0,1587,1216,3565,2553,4751,3381
0,3723,1686,88,1685,4503,4816,3159
0,3310,2636,3523,4236,2553,4469,3913,752
0,123,3753,1108,2467
0,4851,2052,88,3753,3112,4194
0,4550,2349,246,4500,3671
0,2178,1797,3753,3187,3917
0,1652,3503,2553,3968,854
0,3557,1588,246,2301,3808
0,1439,2553,4462,1031
0,3976,246,885,4236,3523,2636,3310
0,3239,554,2023,3753,3931,2454
0,1142,3714,2827,345,141,3753,3377,1760,2791
0,3515,3968,2553,3997,3602
0,99,4751,3753,47,4841
0,2356,650,1108,3753,3514,1878
0,2251,1575,3753,3783,2401
0,3135,3972,246,3928,2862,1989
0,4143,4442,2553,4380,4226,3399,2218
0,3223,1723,246,3972,3338
0,2551,1310,2553,2457,2557
0,3107,88,2553,4138
0,250,986,834,88,1310,787
0,3643,3503,2553,184,1493,3686
0,1503,4651,1383,4521,774
0,236,4503,4230,246,1492
