Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,5268,247792,2922,155,1598.658065,84.802190,19792,4,8405,247792,2922,204,1214.666667,84.802190,1000,11
2,1,5295,247792,2916,155,1598.658065,84.976680,19792,3,7112,247792,1460,242,1023.933884,169.720548,1000,14
3,1,5246,247792,2924,157,1578.292994,84.744186,19792,4,6105,247792,977,242,1023.933884,253.625384,1000,22
4,1,5258,247792,2916,157,1578.292994,84.976680,19792,4,5509,247792,734,273,907.663004,337.591281,1000,16
5,1,5239,247792,2919,157,1578.292994,84.889346,19792,4,5088,247792,587,228,1086.807018,422.132879,1000,22
6,1,5257,247792,2926,157,1578.292994,84.686261,19792,4,4774,247792,490,241,1028.182573,505.697959,1000,22
7,1,5240,247792,2922,157,1578.292994,84.802190,19792,4,4607,247792,420,312,794.205128,589.980952,1000,23
8,1,5279,247792,2925,157,1578.292994,84.715214,19792,4,4363,247792,368,260,953.046154,673.347826,1000,27
9,1,5223,247792,2924,157,1578.292994,84.744186,19792,4,4260,247792,328,312,794.205128,755.463415,1000,29
10,1,5263,247792,2931,157,1578.292994,84.541795,19792,4,4175,247792,295,301,823.229236,839.972881,1000,33
15,1,5252,247792,2932,157,1578.292994,84.512960,19792,4,3802,247792,198,260,953.046154,1251.474747,1000,46
20,1,5291,247792,2949,157,1578.292994,84.025771,19792,5,3559,247792,149,274,904.350365,1663.033557,1000,50
25,1,5315,247792,2955,157,1578.292994,83.855161,19792,4,3444,247792,120,301,823.229236,2064.933333,1000,57
30,1,5305,247792,2967,157,1578.292994,83.516009,19792,4,3418,247792,101,261,949.394636,2453.386139,1000,64
35,1,5321,247792,2974,157,1578.292994,83.319435,19792,4,3326,247792,87,272,911.000000,2848.183908,1000,70
40,1,5346,247792,2985,158,1568.303797,83.012395,19792,4,3267,247792,76,309,801.915858,3260.421053,1000,73
45,1,5327,247792,2992,159,1558.440252,82.818182,19792,4,3251,247792,68,300,825.973333,3644.000000,1000,81
50,1,5302,247792,3003,159,1558.440252,82.514819,19792,3,3206,247792,62,300,825.973333,3996.645161,1000,93
