Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,5562,496070,2224,226,2195.000000,223.053058,19792,5,10796,496070,2224,298,1664.664430,223.053058,1000,13
2,1,5573,496070,2227,226,2195.000000,222.752582,19792,4,9488,496070,1114,318,1559.968553,445.305206,1000,20
3,1,5577,496070,2229,226,2195.000000,222.552714,19792,5,8543,496070,744,353,1405.297450,666.760753,1000,28
4,1,5566,496070,2231,227,2185.330396,222.353205,19792,5,7950,496070,559,340,1459.029412,887.423971,1000,30
5,1,5593,496070,2232,227,2185.330396,222.253584,19792,5,7593,496070,448,341,1454.750733,1107.299107,1000,34
6,1,5628,496070,2235,227,2185.330396,221.955257,19792,5,7312,496070,374,333,1489.699700,1326.390374,1000,39
7,1,5598,496070,2237,227,2185.330396,221.756817,19792,5,7115,496070,321,329,1507.811550,1545.389408,1000,45
8,1,5624,496070,2241,227,2185.330396,221.361000,19792,5,6898,496070,281,340,1459.029412,1765.373665,1000,44
9,1,5609,496070,2242,226,2195.000000,221.262266,19792,5,6842,496070,250,381,1302.020997,1984.280000,1000,51
10,1,5604,496070,2246,226,2195.000000,220.868210,19792,5,6712,496070,226,344,1442.063953,2195.000000,1000,55
15,1,5587,496070,2255,228,2175.745614,219.986696,19792,5,6363,496070,152,353,1405.297450,3263.618421,1000,71
20,1,5602,496070,2270,227,2185.330396,218.533040,19792,5,6234,496070,115,415,1195.349398,4313.652174,1000,93
25,1,5641,496070,2283,226,2195.000000,217.288655,19792,5,6133,496070,92,381,1302.020997,5392.065217,1000,107
30,1,5676,496070,2296,228,2175.745614,216.058362,19792,6,6058,496070,78,357,1389.551821,6359.871795,1000,121
35,1,5659,496070,2310,230,2156.826087,214.748918,19792,5,6027,496070,67,392,1265.484694,7404.029851,1000,152
40,1,5663,496070,2326,230,2156.826087,213.271711,19792,5,6008,496070,59,372,1333.521505,8407.966102,1000,158
45,1,5745,496070,2339,230,2156.826087,212.086362,19792,6,5987,496070,53,415,1195.349398,9359.811321,1000,186
50,1,5735,496070,2353,232,2138.232759,210.824479,19792,5,6009,496070,48,422,1175.521327,10334.791667,1000,189
