Epoch,Total Event,Max,Min,Mean,Std Dev
0,10,1,1,1,0
1,11,2,1,1.1,0.316228
2,12,2,1,1.2,0.421637
3,16,2,1,1.6,0.516398
4,16,2,1,1.6,0.516398
5,17,2,1,1.7,0.483046
6,11,2,1,1.1,0.316228
7,11,2,1,1.1,0.316228
8,12,2,1,1.2,0.421637
9,13,2,1,1.3,0.483046
10,10,1,1,1,0
11,11,2,1,1.1,0.316228
12,10,1,1,1,0
13,12,2,1,1.2,0.421637
14,15,2,1,1.5,0.527046
15,12,2,1,1.2,0.421637
16,10,1,1,1,0
17,12,2,1,1.2,0.421637
18,11,2,1,1.1,0.316228
19,10,1,1,1,0
20,11,2,1,1.1,0.316228
21,12,2,1,1.2,0.421637
22,11,2,1,1.1,0.316228
23,15,2,1,1.5,0.527046
24,11,2,1,1.1,0.316228
25,12,2,1,1.2,0.421637
26,10,1,1,1,0
27,12,2,1,1.2,0.421637
28,14,2,1,1.4,0.516398
29,12,2,1,1.2,0.421637
30,10,1,1,1,0
31,12,2,1,1.2,0.421637
32,12,2,1,1.2,0.421637
33,10,1,1,1,0
34,10,1,1,1,0
35,12,2,1,1.2,0.421637
36,11,2,1,1.1,0.316228
37,10,1,1,1,0
38,13,2,1,1.3,0.483046
39,15,2,1,1.5,0.527046
40,19,2,1,1.9,0.316228
41,15,2,1,1.5,0.527046
42,16,2,1,1.6,0.516398
43,13,2,1,1.3,0.483046
44,13,2,1,1.3,0.483046
45,12,2,1,1.2,0.421637
46,16,3,1,1.6,0.699206
47,17,3,1,1.7,0.823273
48,16,2,1,1.6,0.516398
49,14,2,1,1.4,0.516398
50,16,2,1,1.6,0.516398
51,15,3,1,1.5,0.707107
52,12,2,1,1.2,0.421637
53,15,3,1,1.5,0.707107
54,17,3,1,1.7,0.674949
55,16,2,1,1.6,0.516398
56,13,2,1,1.3,0.483046
57,11,2,1,1.1,0.316228
58,10,1,1,1,0
59,13,2,1,1.3,0.483046
60,14,3,1,1.4,0.699206
61,10,1,1,1,0
62,10,1,1,1,0
63,10,1,1,1,0
64,13,2,1,1.3,0.483046
65,10,1,1,1,0
66,10,1,1,1,0
67,12,2,1,1.2,0.421637
68,12,2,1,1.2,0.421637
69,12,2,1,1.2,0.421637
70,13,2,1,1.3,0.483046
71,12,2,1,1.2,0.421637
72,11,2,1,1.1,0.316228
73,12,2,1,1.2,0.421637
74,11,2,1,1.1,0.316228
75,14,2,1,1.4,0.516398
76,15,2,1,1.5,0.527046
77,14,2,1,1.4,0.516398
78,13,2,1,1.3,0.483046
79,13,2,1,1.3,0.483046
80,12,2,1,1.2,0.421637
81,11,2,1,1.1,0.316228
82,12,2,1,1.2,0.421637
83,12,2,1,1.2,0.421637
84,12,2,1,1.2,0.421637
85,14,2,1,1.4,0.516398
86,11,2,1,1.1,0.316228
87,12,2,1,1.2,0.421637
88,13,2,1,1.3,0.483046
89,13,2,1,1.3,0.483046
90,16,2,1,1.6,0.516398
91,12,2,1,1.2,0.421637
92,12,2,1,1.2,0.421637
93,14,2,1,1.4,0.516398
94,12,2,1,1.2,0.421637
95,12,2,1,1.2,0.421637
96,11,2,1,1.1,0.316228
97,11,2,1,1.1,0.316228
98,11,2,1,1.1,0.316228
99,10,1,1,1,0
100,12,2,1,1.2,0.421637
101,12,2,1,1.2,0.421637
102,11,2,1,1.1,0.316228
103,11,2,1,1.1,0.316228
104,11,2,1,1.1,0.316228
105,11,2,1,1.1,0.316228
106,12,2,1,1.2,0.421637
107,13,3,1,1.3,0.674949
108,12,2,1,1.2,0.421637
109,13,2,1,1.3,0.483046
110,10,1,1,1,0
111,12,2,1,1.2,0.421637
112,15,2,1,1.5,0.527046
113,13,2,1,1.3,0.483046
114,11,2,1,1.1,0.316228
115,10,1,1,1,0
116,10,1,1,1,0
117,10,1,1,1,0
118,12,2,1,1.2,0.421637
119,12,2,1,1.2,0.421637
120,15,2,1,1.5,0.527046
121,14,2,1,1.4,0.516398
122,11,2,1,1.1,0.316228
123,10,1,1,1,0
124,10,1,1,1,0
125,10,1,1,1,0
126,10,1,1,1,0
127,13,3,1,1.3,0.674949
128,13,3,1,1.3,0.674949
129,11,2,1,1.1,0.316228
130,12,2,1,1.2,0.421637
131,12,2,1,1.2,0.421637
132,13,2,1,1.3,0.483046
133,13,2,1,1.3,0.483046
134,12,2,1,1.2,0.421637
135,13,2,1,1.3,0.483046
136,15,2,1,1.5,0.527046
137,13,2,1,1.3,0.483046
138,13,2,1,1.3,0.483046
139,13,2,1,1.3,0.483046
140,12,2,1,1.2,0.421637
141,12,2,1,1.2,0.421637
142,12,2,1,1.2,0.421637
143,12,2,1,1.2,0.421637
144,13,2,1,1.3,0.483046
145,14,3,1,1.4,0.699206
146,11,2,1,1.1,0.316228
147,12,2,1,1.2,0.421637
148,15,2,1,1.5,0.527046
149,13,2,1,1.3,0.483046
150,12,2,1,1.2,0.421637
151,14,2,1,1.4,0.516398
152,14,2,1,1.4,0.516398
153,13,2,1,1.3,0.483046
154,18,2,1,1.8,0.421637
155,12,2,1,1.2,0.421637
156,13,2,1,1.3,0.483046
157,14,2,1,1.4,0.516398
158,10,1,1,1,0
159,11,2,1,1.1,0.316228
160,11,2,1,1.1,0.316228
161,11,2,1,1.1,0.316228
162,12,2,1,1.2,0.421637
163,12,2,1,1.2,0.421637
164,12,3,1,1.2,0.632456
165,11,2,1,1.1,0.316228
166,15,2,1,1.5,0.527046
167,12,2,1,1.2,0.421637
168,11,2,1,1.1,0.316228
169,11,2,1,1.1,0.316228
170,12,2,1,1.2,0.421637
171,11,2,1,1.1,0.316228
172,15,2,1,1.5,0.527046
173,12,2,1,1.2,0.421637
174,11,2,1,1.1,0.316228
175,13,2,1,1.3,0.483046
176,12,2,1,1.2,0.421637
177,10,1,1,1,0
178,14,2,1,1.4,0.516398
179,11,2,1,1.1,0.316228
180,19,2,1,1.9,0.316228
181,15,2,1,1.5,0.527046
182,16,3,1,1.6,0.699206
183,15,2,1,1.5,0.527046
184,12,2,1,1.2,0.421637
185,16,2,1,1.6,0.516398
186,12,2,1,1.2,0.421637
187,14,2,1,1.4,0.516398
188,17,2,1,1.7,0.483046
189,14,2,1,1.4,0.516398
190,13,2,1,1.3,0.483046
191,13,2,1,1.3,0.483046
192,12,2,1,1.2,0.421637
193,17,2,1,1.7,0.483046
194,15,3,1,1.5,0.707107
195,16,2,1,1.6,0.516398
196,13,2,1,1.3,0.483046
197,13,2,1,1.3,0.483046
198,13,2,1,1.3,0.483046
199,11,2,1,1.1,0.316228
200,10,1,1,1,0
201,14,3,1,1.4,0.699206
202,13,2,1,1.3,0.483046
203,11,2,1,1.1,0.316228
204,11,2,1,1.1,0.316228
205,11,2,1,1.1,0.316228
206,13,2,1,1.3,0.483046
207,11,2,1,1.1,0.316228
208,11,2,1,1.1,0.316228
209,13,2,1,1.3,0.483046
210,15,2,1,1.5,0.527046
211,16,2,1,1.6,0.516398
212,13,2,1,1.3,0.483046
213,12,2,1,1.2,0.421637
214,14,2,1,1.4,0.516398
215,12,2,1,1.2,0.421637
216,12,2,1,1.2,0.421637
217,12,2,1,1.2,0.421637
218,13,2,1,1.3,0.483046
219,11,2,1,1.1,0.316228
220,12,2,1,1.2,0.421637
221,10,1,1,1,0
222,12,2,1,1.2,0.421637
223,14,2,1,1.4,0.516398
224,12,2,1,1.2,0.421637
225,13,2,1,1.3,0.483046
226,11,2,1,1.1,0.316228
227,13,2,1,1.3,0.483046
228,14,2,1,1.4,0.516398
229,13,2,1,1.3,0.483046
230,13,2,1,1.3,0.483046
231,10,1,1,1,0
232,11,2,1,1.1,0.316228
233,13,2,1,1.3,0.483046
234,11,2,1,1.1,0.316228
235,11,2,1,1.1,0.316228
236,11,2,1,1.1,0.316228
237,10,1,1,1,0
238,11,2,1,1.1,0.316228
239,11,2,1,1.1,0.316228
240,13,2,1,1.3,0.483046
241,11,2,1,1.1,0.316228
242,10,1,1,1,0
243,12,2,1,1.2,0.421637
244,12,2,1,1.2,0.421637
245,11,2,1,1.1,0.316228
246,11,2,1,1.1,0.316228
247,10,1,1,1,0
248,10,1,1,1,0
249,10,1,1,1,0
250,10,1,1,1,0
251,12,2,1,1.2,0.421637
252,13,2,1,1.3,0.483046
253,10,1,1,1,0
254,13,2,1,1.3,0.483046
255,11,2,1,1.1,0.316228
256,16,3,1,1.6,0.699206
257,15,3,1,1.5,0.707107
258,14,2,1,1.4,0.516398
259,12,2,1,1.2,0.421637
260,11,2,1,1.1,0.316228
261,12,2,1,1.2,0.421637
262,11,2,1,1.1,0.316228
263,13,2,1,1.3,0.483046
264,14,2,1,1.4,0.516398
265,15,2,1,1.5,0.527046
266,12,2,1,1.2,0.421637
267,12,2,1,1.2,0.421637
268,17,2,1,1.7,0.483046
269,11,2,1,1.1,0.316228
270,13,2,1,1.3,0.483046
271,13,2,1,1.3,0.483046
272,11,2,1,1.1,0.316228
273,11,2,1,1.1,0.316228
274,13,2,1,1.3,0.483046
275,12,2,1,1.2,0.421637
276,14,2,1,1.4,0.516398
277,14,2,1,1.4,0.516398
278,16,2,1,1.6,0.516398
279,15,2,1,1.5,0.527046
280,16,2,1,1.6,0.516398
281,16,2,1,1.6,0.516398
282,15,3,1,1.5,0.707107
283,13,2,1,1.3,0.483046
284,12,2,1,1.2,0.421637
285,14,2,1,1.4,0.516398
286,13,2,1,1.3,0.483046
287,11,2,1,1.1,0.316228
288,12,2,1,1.2,0.421637
289,12,2,1,1.2,0.421637
290,13,2,1,1.3,0.483046
291,11,2,1,1.1,0.316228
292,11,2,1,1.1,0.316228
293,12,2,1,1.2,0.421637
294,16,2,1,1.6,0.516398
295,11,2,1,1.1,0.316228
296,12,2,1,1.2,0.421637
297,12,2,1,1.2,0.421637
298,11,2,1,1.1,0.316228
299,12,2,1,1.2,0.421637
300,14,2,1,1.4,0.516398
301,13,2,1,1.3,0.483046
302,13,2,1,1.3,0.483046
303,13,2,1,1.3,0.483046
304,12,2,1,1.2,0.421637
305,15,2,1,1.5,0.527046
306,16,2,1,1.6,0.516398
307,15,2,1,1.5,0.527046
308,11,2,1,1.1,0.316228
309,11,2,1,1.1,0.316228
310,11,2,1,1.1,0.316228
311,13,2,1,1.3,0.483046
312,16,2,1,1.6,0.516398
313,12,2,1,1.2,0.421637
314,11,2,1,1.1,0.316228
315,13,2,1,1.3,0.483046
316,12,2,1,1.2,0.421637
317,12,2,1,1.2,0.421637
318,12,2,1,1.2,0.421637
319,10,1,1,1,0
320,11,2,1,1.1,0.316228
321,10,1,1,1,0
322,12,2,1,1.2,0.421637
323,11,2,1,1.1,0.316228
324,11,2,1,1.1,0.316228
325,12,2,1,1.2,0.421637
326,10,1,1,1,0
327,10,1,1,1,0
328,13,2,1,1.3,0.483046
329,14,3,1,1.4,0.699206
330,11,2,1,1.1,0.316228
331,11,2,1,1.1,0.316228
332,10,1,1,1,0
333,12,2,1,1.2,0.421637
334,15,2,1,1.5,0.527046
335,21,3,1,2.1,0.737865
336,18,3,1,1.8,0.632456
337,19,2,1,1.9,0.316228
338,13,3,1,1.3,0.674949
339,14,2,1,1.4,0.516398
340,13,2,1,1.3,0.483046
341,13,2,1,1.3,0.483046
342,11,2,1,1.1,0.316228
343,11,2,1,1.1,0.316228
344,13,2,1,1.3,0.483046
345,12,2,1,1.2,0.421637
346,11,2,1,1.1,0.316228
347,13,2,1,1.3,0.483046
348,10,1,1,1,0
349,10,1,1,1,0
350,10,1,1,1,0
351,10,1,1,1,0
352,14,2,1,1.4,0.516398
353,15,2,1,1.5,0.527046
354,13,2,1,1.3,0.483046
355,10,1,1,1,0
356,12,2,1,1.2,0.421637
357,15,2,1,1.5,0.527046
358,13,2,1,1.3,0.483046
359,14,2,1,1.4,0.516398
360,17,2,1,1.7,0.483046
361,12,2,1,1.2,0.421637
362,14,2,1,1.4,0.516398
363,11,2,1,1.1,0.316228
364,13,2,1,1.3,0.483046
365,10,1,1,1,0
366,11,2,1,1.1,0.316228
367,10,1,1,1,0
368,12,2,1,1.2,0.421637
369,13,2,1,1.3,0.483046
370,12,2,1,1.2,0.421637
371,14,2,1,1.4,0.516398
372,12,2,1,1.2,0.421637
373,12,2,1,1.2,0.421637
374,14,2,1,1.4,0.516398
375,14,3,1,1.4,0.699206
376,11,2,1,1.1,0.316228
377,13,2,1,1.3,0.483046
378,13,2,1,1.3,0.483046
379,13,2,1,1.3,0.483046
380,11,2,1,1.1,0.316228
381,12,2,1,1.2,0.421637
382,11,2,1,1.1,0.316228
383,14,2,1,1.4,0.516398
384,10,1,1,1,0
385,11,2,1,1.1,0.316228
386,11,2,1,1.1,0.316228
387,13,2,1,1.3,0.483046
388,15,2,1,1.5,0.527046
389,14,2,1,1.4,0.516398
390,13,2,1,1.3,0.483046
391,13,2,1,1.3,0.483046
392,14,2,1,1.4,0.516398
393,15,2,1,1.5,0.527046
394,13,2,1,1.3,0.483046
395,13,2,1,1.3,0.483046
396,10,1,1,1,0
397,18,2,1,1.8,0.421637
398,12,2,1,1.2,0.421637
399,11,2,1,1.1,0.316228
400,12,2,1,1.2,0.421637
401,11,2,1,1.1,0.316228
402,12,2,1,1.2,0.421637
403,12,2,1,1.2,0.421637
404,12,2,1,1.2,0.421637
405,12,2,1,1.2,0.421637
406,10,1,1,1,0
407,10,1,1,1,0
408,11,2,1,1.1,0.316228
409,11,2,1,1.1,0.316228
