Epoch,Total Event,Max,Min,Mean,Std Dev
0,20,2,2,2,0
1,26,4,2,2.6,0.699206
2,31,5,2,3.1,0.875595
3,29,3,2,2.9,0.316228
4,27,4,2,2.7,0.948683
5,31,4,2,3.1,0.567646
6,18,3,1,1.8,0.632456
7,16,2,1,1.6,0.516398
8,26,3,2,2.6,0.516398
9,22,3,2,2.2,0.421637
10,23,3,2,2.3,0.483046
11,23,3,2,2.3,0.483046
12,16,2,1,1.6,0.516398
13,21,3,2,2.1,0.316228
14,18,2,1,1.8,0.421637
15,23,3,2,2.3,0.483046
16,23,3,2,2.3,0.483046
17,22,4,2,2.2,0.632456
18,21,3,2,2.1,0.316228
19,21,3,2,2.1,0.316228
20,21,3,2,2.1,0.316228
21,25,5,2,2.5,0.971825
22,23,4,2,2.3,0.674949
23,25,4,2,2.5,0.707107
24,25,6,2,2.5,1.269296
25,20,2,2,2,0
26,20,2,2,2,0
27,20,2,2,2,0
28,19,3,1,1.9,0.567646
29,22,3,2,2.2,0.421637
30,22,3,2,2.2,0.421637
31,20,2,2,2,0
32,17,3,1,1.7,0.674949
33,17,3,1,1.7,0.674949
34,14,2,1,1.4,0.516398
35,20,2,2,2,0
36,14,2,1,1.4,0.516398
37,15,2,1,1.5,0.527046
38,21,3,1,2.1,0.875595
39,20,2,2,2,0
40,23,4,2,2.3,0.674949
41,28,4,2,2.8,0.788811
42,25,5,2,2.5,1.080123
43,26,5,2,2.6,1.074968
44,22,3,2,2.2,0.421637
45,26,3,2,2.6,0.516398
46,25,3,2,2.5,0.527046
47,31,5,2,3.1,1.100505
48,23,3,2,2.3,0.483046
49,22,4,2,2.2,0.632456
50,28,4,2,2.8,0.632456
51,28,4,2,2.8,0.632456
52,22,4,2,2.2,0.632456
53,22,3,2,2.2,0.421637
54,26,4,2,2.6,0.699206
55,29,6,2,2.9,1.197219
56,26,4,2,2.6,0.699206
57,23,3,2,2.3,0.483046
58,21,3,2,2.1,0.316228
59,20,2,2,2,0
60,24,4,2,2.4,0.699206
61,15,2,1,1.5,0.527046
62,14,2,1,1.4,0.516398
63,19,2,1,1.9,0.316228
64,17,2,1,1.7,0.483046
65,21,3,1,2.1,0.737865
66,18,2,1,1.8,0.421637
67,21,3,1,2.1,0.567646
68,22,3,2,2.2,0.421637
69,26,3,2,2.6,0.516398
70,23,4,1,2.3,1.05935
71,24,5,2,2.4,0.966092
72,23,3,2,2.3,0.483046
73,21,3,1,2.1,0.567646
74,18,2,1,1.8,0.421637
75,27,4,2,2.7,0.674949
76,21,4,1,2.1,0.875595
77,22,3,2,2.2,0.421637
78,20,2,2,2,0
79,19,2,1,1.9,0.316228
80,23,3,2,2.3,0.483046
81,23,4,2,2.3,0.674949
82,21,3,2,2.1,0.316228
83,23,3,2,2.3,0.483046
84,22,3,2,2.2,0.421637
85,20,3,1,2,0.666667
86,17,3,1,1.7,0.674949
87,19,2,1,1.9,0.316228
88,21,3,2,2.1,0.316228
89,18,2,1,1.8,0.421637
90,22,3,2,2.2,0.421637
91,19,4,1,1.9,0.875595
92,16,2,1,1.6,0.516398
93,21,3,2,2.1,0.316228
94,18,2,1,1.8,0.421637
95,19,3,1,1.9,0.875595
96,23,3,2,2.3,0.483046
97,15,3,1,1.5,0.707107
98,20,2,2,2,0
99,14,2,1,1.4,0.516398
100,17,3,1,1.7,0.823273
101,18,2,1,1.8,0.421637
102,17,4,1,1.7,0.948683
103,22,3,2,2.2,0.421637
104,22,3,2,2.2,0.421637
105,20,2,2,2,0
106,24,3,2,2.4,0.516398
107,21,3,1,2.1,0.567646
108,19,4,1,1.9,0.994429
109,17,3,1,1.7,0.674949
110,18,3,1,1.8,0.632456
111,18,2,1,1.8,0.421637
112,23,4,2,2.3,0.674949
113,22,4,1,2.2,0.788811
114,19,3,1,1.9,0.567646
115,15,3,1,1.5,0.707107
116,20,3,1,2,0.471405
117,15,2,1,1.5,0.527046
118,21,3,1,2.1,0.567646
119,17,2,1,1.7,0.483046
120,16,3,1,1.6,0.699206
121,16,2,1,1.6,0.516398
122,13,2,1,1.3,0.483046
123,12,2,1,1.2,0.421637
124,10,1,1,1,0
125,17,2,1,1.7,0.483046
126,13,2,1,1.3,0.483046
127,22,4,1,2.2,0.788811
128,16,4,1,1.6,1.074968
129,20,3,1,2,0.666667
130,16,3,1,1.6,0.699206
131,25,4,2,2.5,0.707107
132,26,4,2,2.6,0.843274
