Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,81,6568,28,70,93.828571,234.571429,6435,11,505,6568,28,464,14.155172,234.571429,5000,79
2,1,95,6568,39,70,93.828571,168.410256,6435,11,508,6568,20,451,14.563193,328.400000,5000,154
3,1,104,6568,48,70,93.828571,136.833333,6435,11,508,6568,18,451,14.563193,364.888889,5000,139
4,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
5,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
6,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
7,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
8,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
9,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
10,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
15,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
20,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
25,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
30,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
35,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
40,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
45,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
50,1,104,6568,48,70,93.828571,136.833333,6435,11,506,6568,15,451,14.563193,437.866667,5000,158
