Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,8406,744388,3389,372,2001.043011,219.648274,19792,5,16372,744388,3389,465,1600.834409,219.648274,1000,14
2,1,8387,744388,3388,372,2001.043011,219.713105,19792,5,14326,744388,1695,427,1743.297424,439.166962,1000,23
3,1,8394,744388,3395,372,2001.043011,219.260088,19792,5,12935,744388,1133,438,1699.515982,657.006178,1000,30
4,1,8337,744388,3394,372,2001.043011,219.324691,19792,5,12145,744388,850,451,1650.527716,875.750588,1000,33
5,1,8404,744388,3392,372,2001.043011,219.454009,19792,5,11553,744388,681,455,1636.017582,1093.080764,1000,34
6,1,8407,744388,3396,373,1995.678284,219.195524,19792,6,11201,744388,568,543,1370.880295,1310.542254,1000,38
7,1,8409,744388,3402,373,1995.678284,218.808936,19792,5,10941,744388,487,451,1650.527716,1528.517454,1000,42
8,1,8396,744388,3396,373,1995.678284,219.195524,19792,5,10668,744388,427,430,1731.134884,1743.297424,1000,47
9,1,8403,744388,3406,373,1995.678284,218.551967,19792,5,10504,744388,380,532,1399.225564,1958.915789,1000,58
10,1,8429,744388,3406,373,1995.678284,218.551967,19792,5,10277,744388,342,470,1583.804255,2176.573099,1000,55
15,1,8404,744388,3416,371,2006.436658,217.912178,19792,5,9840,744388,229,539,1381.053803,3250.602620,1000,72
20,1,8430,744388,3421,371,2006.436658,217.593686,19792,5,9598,744388,173,497,1497.762575,4302.820809,1000,82
25,1,8441,744388,3433,372,2001.043011,216.833091,19792,5,9516,744388,139,497,1497.762575,5355.309353,1000,105
30,1,8437,744388,3443,373,1995.678284,216.203311,19792,6,9405,744388,116,584,1274.636986,6417.137931,1000,122
35,1,8463,744388,3449,373,1995.678284,215.827196,19792,5,9325,744388,100,584,1274.636986,7443.880000,1000,139
40,1,8489,744388,3466,374,1990.342246,214.768609,19792,6,9349,744388,88,471,1580.441614,8458.954545,1000,150
45,1,8516,744388,3479,375,1985.034667,213.966082,19792,6,9334,744388,79,597,1246.881072,9422.632911,1000,176
50,1,8498,744388,3484,375,1985.034667,213.659013,19792,5,9319,744388,71,542,1373.409594,10484.338028,1000,194
