3,935,4,917
3,950,258,175,882
3,942,551,197,841
3,800,2,919
3,948,81,69,935
3,860,751,909,998
3,775,43,149,883
3,917,4,5,993
3,965,363,207,983
3,882,26,982
3,682,70,729
3,857,21,992
3,835,475,623
3,904,120,860
3,724,11,851
3,962,278,803
3,964,21,376,979
3,889,14,981
3,953,92,963
3,987,681,239,912
3,931,91,414,763
7,682,434,107,858
3,797,90,870
3,988,21,376,979
3,969,5,993
3,996,632,450,953
3,933,316,356,851
3,981,325,969
7,962,5,988
3,859,24,797
3,956,267,633,896
3,972,48,255,803
3,987,37,63,872
3,984,60,795,943
3,943,348,978
3,922,581,882
3,940,436,98,944
7,988,8,913
3,914,4,980
3,765,143,928
3,833,60,994
3,963,75,498,765
15,931,354,965
7,724,5,972
7,950,36,351,937
3,808,7,933
15,996,38,908
3,929,584,948
3,803,495,547,913
10,833,60,623
10,914,14,981
3,903,16,7,913
3,702,2,911
8,950,36,262,870
3,919,2,857
13,903,33,873
3,908,736,175,994
3,870,262,585,972
13,860,44,775
3,636,527,953
3,973,17,763
13,833,451,963
10,969,18,78,914
3,998,51,882
7,835,15,969
3,999,26,790,998
3,928,3,919
7,922,242,951
13,956,224,917
10,765,26,982
3,978,29,940
3,763,728,969
5,987,37,992
13,763,24,797
3,913,28,896
3,983,966,98,900
7,998,355,324,939
13,940,642,579,896
10,928,527,478,868
10,965,354,73,808
7,943,381,468,623
13,928,296,797
3,886,139,983
3,851,247,413,933
10,929,139,886
3,893,74,969
7,917,20,953
3,900,84,858
3,883,308,537,855
3,859,24,978
3,995,4,682
10,808,7,917
17,833,3,928
3,623,65,763
17,928,527,339,858
13,765,26,943
7,935,4,964
15,623,8,913
10,882,28,989
3,912,221,900
3,938,95,150,636
7,933,35,936
3,946,57,195,991
7,999,26,207,983
10,702,584,500,889
17,765,48,972
15,917,7,912
16,860,144,989
13,808,505,984
17,808,16,451,797
20,623,194,942
15,883,89,200,962
7,803,20,246,961
3,807,316,434,682
13,886,185,862,931
15,981,33,286,882
13,929,27,944
10,851,65,214,940
15,775,413,993
3,729,14,925
20,808,486,539,938
3,908,36,126,995
15,998,355,61,908
3,985,10,682
14,963,33,962
3,858,30,835
5,908,192,565,974
13,965,393,993
3,961,501,201,883
3,872,697,57,835
14,858,245,903
7,913,150,872
13,914,1,855
9,948,844,196,995
20,981,325,969
16,917,514,550,889
3,855,210,800
3,824,196,192,908
7,824,48,982
15,943,861,991
7,912,13,961
16,940,29,937
19,940,36,889
15,983,11,935
15,962,5,14,995
3,992,88,948
3,951,307,53,911
3,815,60,983
13,889,120,904
16,962,461,607,979
3,873,44,929
13,961,21,873
10,857,598,186,729
20,996,632,224,917
3,939,11,724
3,982,326,513,925
21,963,451,579,835
13,942,840,896
13,938,95,437,973
17,965,737,469,857
35,940,768,101,913
10,800,213,463,623
25,981,325,140,900
16,886,63,245,729
7,873,22,402,985
13,904,429,207,983
7,815,60,252,911
16,943,11,980
19,917,281,232,911
16,956,205,60,939
21,808,3,219,807
13,800,411,252,835
15,835,129,886
3,953,577,47,775
15,815,488,210,904
3,841,197,605,935
22,963,694,750,974
17,800,11,935
3,994,44,77,944
3,868,764,92,998
19,956,142,859
3,714,13,961
36,808,73,979
10,985,232,324,939
19,943,7,933
3,991,646,225,808
20,833,77,961
15,922,278,249,877
16,763,284,373,803
15,912,7,999
3,911,24,354,860
7,978,210,861,936
19,763,24,978
23,917,7,928
10,946,545,597,682
20,883,308,152,973
19,860,176,64,896
15,913,77,948
13,857,10,714
7,982,7,917
22,963,38,235,870
10,972,14,787
28,963,535,582,714
38,940,36,280,983
16,913,12,224,956
3,896,53,153,870
15,682,70,729
10,872,150,636
7,995,181,520,911
5,859,24,674,872
8,803,373,675,787
3,975,349,851
10,919,2,969
3,974,769,152,931
10,900,428,815
3,993,393,63,833
7,841,36,435,939
25,996,23,925
16,903,33,994
13,882,48,79,797
16,961,77,833
15,807,21,857
10,994,60,833
35,860,13,938
3,979,44,994
15,896,355,998
16,889,108,991
13,994,391,988
7,975,14,800
13,972,372,631,939
16,942,274,73,815
13,946,320,607,979
16,987,37,38,996
7,636,216,571,964
7,991,108,118,942
3,877,4,900
15,841,8,807
3,925,471,470,993
7,855,0,803
19,889,452,281,903
17,946,281,903
10,911,454,245,914
15,935,29,608,938
15,933,413,210,996
16,933,480,158,929
35,889,723,70,974
16,682,411,800
7,993,413,933
13,919,141,434,903
15,993,892,164,857
5,953,450,94,992
17,929,90,531,991
19,962,57,673,824
20,800,145,227,833
7,868,12,857
13,702,584,500,889
10,948,846,396,908
20,775,29,964
13,851,839,396,908
3,787,119,912
23,962,402,948
