Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,14850,743870,8250,359,2072.061281,90.166061,19792,5,25092,743870,8250,523,1422.313576,90.166061,1000,10
2,1,14898,743870,8251,359,2072.061281,90.155133,19792,5,21128,743870,4138,523,1422.313576,179.765587,1000,19
3,1,14878,743870,8264,359,2072.061281,90.013311,19792,4,18262,743870,2765,523,1422.313576,269.030741,1000,22
4,1,14869,743870,8260,359,2072.061281,90.056901,19792,4,16533,743870,2076,508,1464.311024,358.318882,1000,24
5,1,14986,743870,8271,359,2072.061281,89.937130,19792,4,15304,743870,1664,523,1422.313576,447.037260,1000,27
6,1,14951,743870,8268,359,2072.061281,89.969763,19792,4,14428,743870,1388,524,1419.599237,535.929395,1000,31
7,1,14914,743870,8268,359,2072.061281,89.969763,19792,5,13777,743870,1190,595,1250.201681,625.100840,1000,34
8,1,14866,743870,8260,361,2060.581717,90.056901,19792,5,13141,743870,1041,595,1250.201681,714.572526,1000,32
9,1,14947,743870,8262,361,2060.581717,90.035100,19792,5,12681,743870,926,705,1055.134752,803.315335,1000,37
10,1,14898,743870,8267,361,2060.581717,89.980646,19792,5,12376,743870,833,634,1173.296530,893.001200,1000,39
15,1,14961,743870,8276,359,2072.061281,89.882794,19792,4,11305,743870,557,575,1293.686957,1335.493716,1000,46
20,1,14954,743870,8290,359,2072.061281,89.731001,19792,4,10713,743870,419,642,1158.676012,1775.346062,1000,57
25,1,14927,743870,8293,360,2066.305556,89.698541,19792,4,10264,743870,336,642,1158.676012,2213.898810,1000,58
30,1,15002,743870,8298,359,2072.061281,89.644493,19792,4,10064,743870,280,629,1182.623211,2656.678571,1000,70
35,1,14951,743870,8296,358,2077.849162,89.666104,19792,5,9845,743870,241,642,1158.676012,3086.597510,1000,74
40,1,14962,743870,8308,358,2077.849162,89.536591,19792,4,9735,743870,211,641,1160.483619,3525.450237,1000,88
45,1,15010,743870,8325,363,2049.228650,89.353754,19792,5,9657,743870,188,637,1167.770801,3956.755319,1000,97
50,1,15026,743870,8329,361,2060.581717,89.310842,19792,4,9597,743870,170,624,1192.099359,4375.705882,1000,100
