Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,949,124032,288,87,1425.655172,430.666667,19792,6,2192,124032,288,95,1305.600000,430.666667,1000,25
2,1,932,124032,291,87,1425.655172,426.226804,19792,7,1981,124032,146,126,984.380952,849.534247,1000,39
3,1,937,124032,293,87,1425.655172,423.317406,19792,6,1823,124032,98,126,984.380952,1265.632653,1000,42
4,1,954,124032,296,87,1425.655172,419.027027,19792,6,1750,124032,75,122,1016.655738,1653.760000,1000,56
5,1,970,124032,299,87,1425.655172,414.822742,19792,6,1713,124032,60,123,1008.390244,2067.200000,1000,64
6,1,941,124032,301,87,1425.655172,412.066445,19792,6,1669,124032,51,149,832.429530,2432.000000,1000,76
7,1,957,124032,303,87,1425.655172,409.346535,19792,6,1641,124032,44,131,946.809160,2818.909091,1000,71
8,1,959,124032,306,87,1425.655172,405.333333,19792,7,1611,124032,39,149,832.429530,3180.307692,1000,86
9,1,974,124032,308,87,1425.655172,402.701299,19792,5,1614,124032,35,150,826.880000,3543.771429,1000,94
10,1,959,124032,311,87,1425.655172,398.816720,19792,6,1595,124032,32,138,898.782609,3876.000000,1000,93
15,1,1003,124032,325,89,1393.617978,381.636923,19792,6,1572,124032,22,179,692.916201,5637.818182,1000,133
20,1,1003,124032,339,89,1393.617978,365.876106,19792,5,1551,124032,18,184,674.086957,6890.666667,1000,164
25,1,1035,124032,355,90,1378.133333,349.385915,19792,6,1549,124032,15,181,685.259669,8268.800000,1000,195
30,1,1049,124032,369,90,1378.133333,336.130081,19792,6,1578,124032,13,189,656.253968,9540.923077,1000,238
35,1,1068,124032,384,92,1348.173913,323.000000,19792,6,1574,124032,12,191,649.382199,10336.000000,1000,269
40,1,1114,124032,399,93,1333.677419,310.857143,19792,6,1575,124032,11,225,551.253333,11275.636364,1000,293
45,1,1136,124032,414,95,1305.600000,299.594203,19792,6,1585,124032,10,222,558.702703,12403.200000,1000,296
50,1,1157,124032,429,95,1305.600000,289.118881,19792,6,1611,124032,9,234,530.051282,13781.333333,1000,327
