Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,433,49660,146,34,1460.588235,340.136986,19792,6,976,49660,146,75,662.133333,340.136986,1000,16
2,1,441,49660,149,33,1504.848485,333.288591,19792,5,899,49660,75,77,644.935065,662.133333,1000,31
3,1,441,49660,151,33,1504.848485,328.874172,19792,6,830,49660,51,73,680.273973,973.725490,1000,34
4,1,437,49660,153,33,1504.848485,324.575163,19792,5,791,49660,39,86,577.441860,1273.333333,1000,43
5,1,457,49660,156,33,1504.848485,318.333333,19792,7,748,49660,32,82,605.609756,1551.875000,1000,52
6,1,450,49660,159,38,1306.842105,312.327044,19792,6,742,49660,27,82,605.609756,1839.259259,1000,54
7,1,447,49660,160,42,1182.380952,310.375000,19792,6,711,49660,24,82,605.609756,2069.166667,1000,54
8,1,469,49660,162,35,1418.857143,306.543210,19792,6,709,49660,21,82,605.609756,2364.761905,1000,65
9,1,454,49660,165,35,1418.857143,300.969697,19792,5,709,49660,19,86,577.441860,2613.684211,1000,71
10,1,481,49660,167,37,1342.162162,297.365269,19792,6,701,49660,18,94,528.297872,2758.888889,1000,90
15,1,497,49660,178,38,1306.842105,278.988764,19792,6,699,49660,13,123,403.739837,3820.000000,1000,113
20,1,506,49660,192,42,1182.380952,258.645833,19792,6,698,49660,11,110,451.454545,4514.545455,1000,133
25,1,525,49660,207,46,1079.565217,239.903382,19792,6,689,49660,9,112,443.392857,5517.777778,1000,159
30,1,554,49660,222,46,1079.565217,223.693694,19792,7,704,49660,8,117,424.444444,6207.500000,1000,195
35,1,573,49660,237,49,1013.469388,209.535865,19792,6,707,49660,8,130,382.000000,6207.500000,1000,208
40,1,593,49660,252,51,973.725490,197.063492,19792,6,736,49660,7,130,382.000000,7094.285714,1000,253
45,1,624,49660,267,52,955.000000,185.992509,19792,6,745,49660,7,138,359.855072,7094.285714,1000,292
50,1,651,49660,282,53,936.981132,176.099291,19792,6,755,49660,6,144,344.861111,8276.666667,1000,306
