Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,129,2,0,0.070957096,0.263174112,62,94,19792
1,236,3,0,0.128540305,0.386181254,90,149,19792
2,327,3,0,0.173566879,0.418785913,136,218,19792
3,402,4,0,0.207644628,0.462845295,162,262,19792
4,414,4,0,0.214507772,0.473887217,163,266,19792
5,516,4,0,0.267219057,0.52998923,188,317,19792
6,523,3,0,0.269587629,0.51386434,202,333,19792
7,584,3,0,0.295696203,0.543597448,217,363,19792
8,643,4,0,0.324747475,0.570536202,235,396,19792
9,575,4,0,0.292323335,0.529358852,226,370,19792
10,580,3,0,0.294565769,0.522439485,233,378,19792
11,519,3,0,0.268355739,0.501277917,210,340,19792
12,471,3,0,0.246338912,0.483627478,191,309,19792
13,485,3,0,0.251425609,0.493241974,195,316,19792
14,419,5,0,0.218229167,0.476417268,169,274,19792
15,464,4,0,0.240788791,0.494136965,182,298,19792
16,409,3,0,0.212136929,0.447698373,175,277,19792
17,352,2,0,0.182477968,0.407252557,161,249,19792
18,334,4,0,0.174139729,0.409738858,148,231,19792
19,348,3,0,0.1856,0.429322268,146,233,19792
20,393,3,0,0.207936508,0.451619609,164,262,19792
21,432,2,0,0.225234619,0.462860988,179,287,19792
22,527,4,0,0.270951157,0.53103708,193,325,19792
23,613,4,0,0.314358974,0.562327654,224,377,19792
24,677,4,0,0.34295846,0.583093939,243,412,19792
25,630,5,0,0.317220544,0.581906472,217,374,19792
26,746,4,0,0.378872524,0.630105608,244,430,19792
27,750,5,0,0.382653061,0.647376692,236,423,19792
28,739,4,0,0.372104733,0.59722895,264,449,19792
29,694,5,0,0.342377898,0.582057206,254,427,19792
30,599,4,0,0.304679552,0.54539336,231,381,19792
31,572,4,0,0.295454545,0.52973593,225,368,19792
32,453,2,0,0.236183525,0.473617398,185,298,19792
33,442,4,0,0.229015544,0.479099255,175,285,19792
34,465,3,0,0.24256651,0.472747142,196,312,19792
35,524,4,0,0.273343766,0.522344095,202,333,19792
36,488,4,0,0.252196382,0.506895658,186,308,19792
37,508,4,0,0.261720762,0.526144238,189,316,19792
38,466,4,0,0.241701245,0.504966111,178,294,19792
39,462,4,0,0.24137931,0.498026822,176,291,19792
40,525,3,0,0.270758123,0.522384381,196,327,19792
41,478,3,0,0.246518824,0.491498416,193,312,19792
42,515,3,0,0.263831967,0.492447593,215,344,19792
43,571,4,0,0.295548654,0.544375563,213,356,19792
44,559,3,0,0.289038263,0.530218557,213,353,19792
45,615,4,0,0.31234129,0.563502993,220,374,19792
46,756,4,0,0.383172833,0.632263609,241,430,19792
47,668,4,0,0.339603457,0.588610486,230,397,19792
48,596,3,0,0.295195641,0.523985356,236,385,19792
49,542,3,0,0.274708566,0.508102682,216,351,19792
50,498,3,0,0.263492063,0.518978591,185,309,19792
51,542,4,0,0.283028721,0.53341746,205,340,19792
52,487,3,0,0.249871729,0.495001954,196,318,19792
53,449,3,0,0.228615071,0.471474548,184,296,19792
54,445,3,0,0.228439425,0.458523375,192,303,19792
55,416,3,0,0.219293622,0.452823918,178,282,19792
56,399,3,0,0.210443038,0.449586869,168,268,19792
57,425,3,0,0.222629649,0.469389183,171,277,19792
58,465,4,0,0.241935484,0.49279029,182,298,19792
59,485,3,0,0.2498712,0.494199586,194,315,19792
60,509,3,0,0.261293634,0.504729323,201,328,19792
61,489,4,0,0.254290172,0.520471703,179,301,19792
62,468,3,0,0.243623113,0.48195802,191,308,19792
63,501,4,0,0.261073476,0.512717407,192,317,19792
64,495,3,0,0.258215962,0.51042529,187,311,19792
65,548,4,0,0.280593958,0.515256238,221,358,19792
66,595,5,0,0.304347826,0.545716099,224,373,19792
67,605,4,0,0.309304703,0.549294202,230,381,19792
68,611,4,0,0.309367089,0.557702221,223,376,19792
69,549,4,0,0.279531568,0.525235395,211,348,19792
70,519,3,0,0.267940114,0.496859497,215,345,19792
71,438,3,0,0.228601253,0.4626367,188,297,19792
72,422,4,0,0.222222222,0.466033993,178,283,19792
73,394,4,0,0.207696363,0.457109586,166,264,19792
74,389,3,0,0.205385428,0.44157014,166,263,19792
75,425,3,0,0.221584984,0.464058429,174,280,19792
76,407,4,0,0.212310902,0.467408271,162,264,19792
77,400,3,0,0.207576544,0.455136476,162,262,19792
78,522,4,0,0.271875,0.512522321,208,338,19792
79,492,3,0,0.257322176,0.500861367,194,317,19792
80,488,3,0,0.250513347,0.49639144,193,315,19792
81,463,3,0,0.236345074,0.482361102,186,302,19792
82,378,3,0,0.198425197,0.437834671,162,256,19792
83,517,4,0,0.272823219,0.540810919,184,313,19792
84,428,3,0,0.224201152,0.482417212,166,273,19792
85,545,4,0,0.278203165,0.518985454,213,349,19792
86,570,3,0,0.289193303,0.52797853,221,363,19792
87,521,4,0,0.267453799,0.525496107,192,322,19792
88,647,4,0,0.328426396,0.577427141,230,392,19792
89,510,4,0,0.264248705,0.531649019,184,311,19792
90,527,3,0,0.26984127,0.505499292,211,343,19792
91,562,4,0,0.286296485,0.529988256,216,356,19792
92,547,4,0,0.284008307,0.52255489,214,351,19792
93,608,5,0,0.310204082,0.551297101,231,383,19792
94,586,4,0,0.296708861,0.525985642,235,381,19792
95,574,4,0,0.293456033,0.540699669,218,361,19792
96,558,5,0,0.287628866,0.547629847,206,345,19792
97,510,4,0,0.263429752,0.542580125,178,305,19792
98,457,3,0,0.236175711,0.492481056,177,291,19792
99,460,4,0,0.237972064,0.477513428,191,306,19792
100,440,4,0,0.229645094,0.48526925,174,284,19792
101,598,4,0,0.310649351,0.562253267,213,362,19792
102,613,5,0,0.312914752,0.576693782,211,364,19792
103,602,3,0,0.304347826,0.534487217,238,388,19792
104,579,4,0,0.293461733,0.534359798,223,368,19792
105,475,3,0,0.248560963,0.491249898,189,308,19792
106,468,3,0,0.246186218,0.490319364,187,304,19792
107,439,3,0,0.232521186,0.491001809,167,277,19792
108,380,3,0,0.19884877,0.440393367,159,254,19792
109,393,3,0,0.203732504,0.440984568,168,266,19792
110,371,3,0,0.194444444,0.425252392,165,258,19792
111,313,2,0,0.165433404,0.39645397,139,217,19792
112,357,3,0,0.187008905,0.429663842,149,238,19792
113,327,3,0,0.173566879,0.421314504,134,216,19792
114,430,4,0,0.225603358,0.466736341,179,286,19792
115,463,3,0,0.241271496,0.487214689,183,299,19792
116,431,3,0,0.222739018,0.465455867,176,284,19792
117,373,3,0,0.192764858,0.430902175,160,253,19792
118,339,3,0,0.178986272,0.413917706,148,233,19792
119,441,3,0,0.237096774,0.481190206,177,287,19792
120,492,3,0,0.259904913,0.508971719,186,309,19792
121,569,3,0,0.288832487,0.545843668,205,347,19792
122,586,6,0,0.296859169,0.561494876,215,361,19792
123,541,4,0,0.279586563,0.52138531,213,348,19792
124,497,3,0,0.256714876,0.494628881,201,325,19792
125,430,3,0,0.226554268,0.483017698,166,273,19792
126,441,3,0,0.232105263,0.482795953,174,284,19792
127,380,4,0,0.197402597,0.454240252,152,247,19792
128,365,3,0,0.189906348,0.429085794,156,247,19792
129,377,2,0,0.198421053,0.426970705,167,261,19792
130,524,4,0,0.277248677,0.533038521,197,328,19792
131,644,4,0,0.332301342,0.590755637,218,379,19792
132,648,3,0,0.321907601,0.558418259,241,403,19792
133,663,6,0,0.324840764,0.566045178,252,418,19792
134,640,4,0,0.32586558,0.561748067,239,399,19792
135,545,3,0,0.282969886,0.523118229,206,342,19792
136,440,4,0,0.22622108,0.48243996,172,282,19792
137,431,4,0,0.223316062,0.47908608,169,277,19792
138,390,4,0,0.204295443,0.455760231,157,254,19792
139,418,3,0,0.216917488,0.469931001,167,271,19792
140,468,6,0,0.243496358,0.501970974,186,303,19792
141,482,5,0,0.252223967,0.529955075,173,293,19792
142,530,3,0,0.271655561,0.514419041,209,341,19792
143,559,4,0,0.285933504,0.520394294,221,361,19792
144,580,3,0,0.297283444,0.517179532,238,383,19792
145,586,3,0,0.297160243,0.530100599,227,373,19792
146,594,4,0,0.302443992,0.55394122,218,366,19792
147,597,5,0,0.307256819,0.560255789,215,364,19792
148,602,4,0,0.308717949,0.548402126,228,378,19792
149,696,5,0,0.357106208,0.60941201,239,413,19792
150,640,5,0,0.323722812,0.574780983,233,393,19792
151,690,5,0,0.345518277,0.591181178,239,411,19792
152,658,4,0,0.331820474,0.580398854,233,397,19792
153,522,4,0,0.267967146,0.505806627,207,337,19792
154,449,4,0,0.230848329,0.483976318,179,291,19792
155,382,3,0,0.201796091,0.442767754,161,256,19792
156,410,3,0,0.219017094,0.467090676,165,267,19792
157,353,4,0,0.185107499,0.425854522,152,240,19792
