Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,129,2,0,0.0709570957095711,0.263174112439186,62,94,19792
1,107,2,0,0.05885588558855885,0.24683179088107038,49,76,19792
2,91,2,0,0.05005500550055003,0.2231078261537603,44,67,19792
3,75,2,0,0.04125412541254126,0.20439036511198486,36,55,19792
4,87,2,0,0.04785478547854784,0.22603840204339268,39,61,19792
5,160,2,0,0.08800880088008792,0.30399884122246984,70,110,19792
6,109,2,0,0.059955995599559976,0.24878880678107948,50,77,19792
7,143,2,0,0.07865786578657868,0.27733292748088495,68,104,19792
8,143,2,0,0.07865786578657868,0.28516033126177837,64,100,19792
9,45,1,0,0.02475247524752475,0.15541259838524243,23,34,19792
10,245,2,0,0.13344226579520693,0.36188022833835654,109,170,19792
11,341,4,0,0.1809978768577496,0.43191807753224865,140,225,19792
12,268,3,0,0.1386445938954993,0.37990630916759527,112,179,19792
13,268,3,0,0.13590263691683507,0.3698273167222183,117,184,19792
14,230,3,0,0.11403073872087276,0.36171777267717437,91,148,19792
15,372,3,0,0.18014527845036318,0.43966708931483844,144,237,19792
16,297,3,0,0.13878504672897168,0.37932843460564863,127,201,19792
17,297,2,0,0.13642627468994006,0.3666229758780487,131,205,19792
18,340,3,0,0.15212527964205824,0.3891301762344667,147,232,19792
19,313,3,0,0.13770347558293022,0.3705123570852665,137,215,19792
20,249,2,0,0.10811984368215365,0.33352900644788447,108,170,19792
21,473,4,0,0.2018779342723006,0.4655106270883567,181,299,19792
22,478,5,0,0.20488641234462085,0.4821266385327383,176,295,19792
23,482,5,0,0.20704467353951872,0.4818156407922582,175,295,19792
24,420,4,0,0.17941050832977337,0.4309835633040377,173,278,19792
25,404,4,0,0.17264957264957237,0.4198218094739115,170,271,19792
26,597,4,0,0.2535031847133753,0.5204642226948961,221,370,19792
27,435,3,0,0.18863833477883765,0.4432880126961354,173,282,19792
28,413,3,0,0.18066491688538944,0.4268788508648357,170,273,19792
29,456,3,0,0.20159151193633948,0.44912528409396596,185,299,19792
30,416,3,0,0.1845607808340728,0.43443782651846347,171,275,19792
31,456,3,0,0.19982471516213848,0.44558328883491205,188,302,19792
32,537,4,0,0.23408892763731518,0.505225310978541,197,331,19792
33,572,5,0,0.24847958297132894,0.517351963907611,208,351,19792
34,611,4,0,0.2630219543693508,0.5259393736493426,225,378,19792
35,522,3,0,0.22413052812365813,0.47669207766332833,207,337,19792
36,565,4,0,0.24073285044737994,0.5078186384986895,207,348,19792
37,695,4,0,0.2931252636018562,0.5569953835519542,245,419,19792
38,464,4,0,0.19253112033195016,0.4503886795968526,181,297,19792
39,459,3,0,0.18920032976092338,0.4356093249405355,190,305,19792
40,514,3,0,0.2113486842105262,0.4779665106690834,189,317,19792
41,445,3,0,0.18418874172185462,0.4312032420998498,184,295,19792
42,474,4,0,0.1964359718193122,0.4437185274185421,195,313,19792
43,584,5,0,0.24343476448520232,0.5340117174781258,199,345,19792
44,597,4,0,0.25052454888795567,0.530131886507794,208,357,19792
45,678,5,0,0.2863175675675673,0.5453171575893222,251,420,19792
46,598,3,0,0.2532825074121137,0.5177105158354339,214,363,19792
47,535,4,0,0.2265029635901785,0.48081398689664745,211,345,19792
48,515,3,0,0.2219827586206899,0.46927084600751673,207,336,19792
49,516,4,0,0.22405557967868034,0.46994247059311395,210,339,19792
50,529,5,0,0.22910350801212656,0.49249314639575265,201,333,19792
51,540,4,0,0.23326133909287305,0.5015270014083797,198,333,19792
52,433,2,0,0.18679896462467657,0.42378366823317204,185,293,19792
53,475,4,0,0.20386266094420594,0.46434265233439836,187,306,19792
54,558,4,0,0.23714407139821528,0.4964472453492715,212,351,19792
55,588,5,0,0.2490470139771284,0.5090537731666378,224,371,19792
56,720,4,0,0.3018867924528305,0.566338139440907,249,429,19792
57,547,4,0,0.22782174094127455,0.4806165778217955,217,354,19792
58,449,3,0,0.186849771119434,0.4381402548469021,180,292,19792
59,437,3,0,0.18423271500843166,0.4368565599380529,175,284,19792
60,540,4,0,0.22670025188916934,0.4925236352510516,203,338,19792
61,564,4,0,0.23568742164646858,0.5103741062601834,201,342,19792
62,482,3,0,0.201000834028357,0.44708185517961185,198,318,19792
63,437,3,0,0.1823112223612848,0.4349745237623159,174,283,19792
64,475,4,0,0.19983172065628957,0.4513727344529323,193,312,19792
65,541,5,0,0.23099914602903487,0.5079586429154986,192,327,19792
66,552,3,0,0.2344944774851317,0.4828372057824508,220,358,19792
67,690,4,0,0.29374201787994886,0.5519510105839854,253,425,19792
68,521,3,0,0.2267188859878156,0.4897199453791901,192,322,19792
69,408,4,0,0.17563495479982752,0.43150126451203213,164,266,19792
70,440,4,0,0.18924731182795682,0.44525185914315857,176,286,19792
71,454,3,0,0.1953528399311531,0.44851590096509936,178,291,19792
72,522,5,0,0.2258762440501947,0.4790379069338524,210,340,19792
73,503,3,0,0.21984265734265718,0.4705675495563996,199,325,19792
74,459,3,0,0.19870129870129907,0.44721170897515633,186,301,19792
75,511,4,0,0.21950171821305842,0.4847633857641648,189,317,19792
76,531,4,0,0.22663252240717077,0.49102018730286134,197,330,19792
77,491,3,0,0.2079627276577725,0.4570030878878141,196,319,19792
78,710,5,0,0.2983193277310926,0.5689873888958711,239,416,19792
79,447,4,0,0.18948707079270838,0.4513194675761905,176,288,19792
80,398,3,0,0.17001281503630955,0.4105108864206805,169,268,19792
81,374,3,0,0.15982905982905957,0.396771888411864,162,255,19792
82,412,3,0,0.17804667242869487,0.42135226430537775,173,276,19792
83,561,3,0,0.24149806284976377,0.49871479387021894,211,351,19792
84,445,4,0,0.19197584124245026,0.43852597224429574,185,296,19792
85,553,3,0,0.24095860566448762,0.5070341695724361,203,341,19792
86,499,4,0,0.21667390360399535,0.4838305210619067,186,311,19792
87,436,3,0,0.19164835164835164,0.44109548138074534,181,290,19792
88,671,4,0,0.29769299023957385,0.5858397122626062,218,386,19792
89,559,4,0,0.24625550660792878,0.4982751968505558,220,360,19792
90,395,4,0,0.17539964476021305,0.4245451954460546,164,263,19792
91,422,3,0,0.1864781263809104,0.43868334000414816,171,276,19792
92,403,3,0,0.17887261429205495,0.43232730535113884,161,262,19792
93,525,5,0,0.2298598949211913,0.509362004714583,189,320,19792
94,497,3,0,0.21487246000864665,0.4623396511409899,200,324,19792
95,529,4,0,0.2283124730254633,0.5013895638314979,189,321,19792
96,565,4,0,0.24134985049124322,0.5116745320002032,206,347,19792
97,447,5,0,0.19086251067463703,0.4469673107760406,179,291,19792
98,459,4,0,0.19581911262798626,0.4540889427729752,179,294,19792
99,643,3,0,0.2692629815745388,0.5336847364551945,228,389,19792
100,440,5,0,0.18699532511687186,0.4440278577955939,178,288,19792
101,615,4,0,0.2608142493638677,0.5326024341278126,215,369,19792
102,511,4,0,0.21461570768584615,0.462606505280627,208,336,19792
103,450,4,0,0.18734388009991676,0.44976520041921614,174,286,19792
104,532,3,0,0.22074688796680497,0.4737013470645131,210,343,19792
105,481,3,0,0.20244107744107748,0.46322705209198173,185,305,19792
106,530,3,0,0.22064945878434675,0.47733109659705647,207,339,19792
107,560,5,0,0.23549201009251453,0.5049708624025294,207,347,19792
108,310,2,0,0.13085690164626443,0.3567841304589119,140,217,19792
109,510,3,0,0.21428571428571444,0.46423778789909503,203,330,19792
