Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,129,2,0,1.29,0.49838121792844314,34,66,1000
1,236,5,0,1.2620320855614984,0.797038968460484,55,103,1000
2,327,11,0,1.27734375,1.2944960314694662,54,122,1000
3,402,9,0,1.435714285714285,1.3100697088663236,59,133,1000
4,414,8,0,1.3529411764705874,1.0587378085947996,74,161,1000
5,516,10,0,1.7551020408163274,1.358034298825927,70,140,1000
6,523,9,0,1.5945121951219505,1.177087737229145,85,177,1000
7,584,8,0,1.6781609195402305,1.362268432574,79,168,1000
8,643,9,0,1.831908831908832,1.4273678283396045,83,165,1000
9,575,12,0,1.6106442577030808,1.4249773818634006,82,177,1000
10,580,8,0,1.8124999999999993,1.447893291760832,74,150,1000
11,519,6,0,1.6634615384615388,1.0388954398063155,87,175,1000
12,471,11,0,1.490506329113925,1.0852130490666694,89,171,1000
13,485,10,0,1.6112956810631227,1.2021114683261636,77,156,1000
14,419,6,0,1.3966666666666667,1.0628992134796256,73,158,1000
15,464,8,0,1.622377622377622,1.1535099497921193,78,145,1000
16,409,7,0,1.3543046357615898,1.0645127470426614,75,159,1000
17,352,7,0,1.1772575250836121,0.8306327966401623,83,171,1000
18,334,7,0,1.3522267206477734,1.0405522988298943,60,135,1000
19,348,5,0,1.4089068825910926,0.9620870032710175,64,137,1000
20,393,6,0,1.5,1.1505454312073164,65,132,1000
21,432,9,0,1.5104895104895102,1.2779761020588152,71,134,1000
22,527,8,0,1.7055016181229765,1.4947968711079094,66,141,1000
23,613,15,0,1.7414772727272727,1.553852332336336,82,173,1000
24,677,14,0,1.912429378531073,1.580946493437331,84,165,1000
25,630,12,0,1.769662921348314,1.600274940770467,75,162,1000
26,746,10,0,2.226865671641794,1.9520894754660247,69,147,1000
27,750,10,0,2.1367521367521363,1.6847516963601128,81,164,1000
28,739,18,0,1.9759358288770044,1.9599087783525848,79,166,1000
29,694,13,0,1.9171270718232045,1.5890151065168538,82,166,1000
30,599,7,0,1.6638888888888892,1.2313574224513613,89,186,1000
31,572,9,0,1.9066666666666667,1.3604379909842508,75,146,1000
32,453,6,0,1.4565916398713827,1.1572547982998158,74,157,1000
33,442,7,0,1.4983050847457628,1.206204414798826,68,148,1000
34,465,13,0,1.6315789473684215,1.2309331589524874,75,149,1000
35,524,8,0,1.7643097643097638,1.3145517213279314,73,146,1000
36,488,10,0,1.520249221183801,1.362578415246148,72,159,1000
37,508,8,0,1.6334405144694535,1.2904265594449864,75,158,1000
38,466,6,0,1.558528428093646,1.04548526433782,80,166,1000
39,462,6,0,1.5400000000000005,1.1310751980655087,76,150,1000
40,525,9,0,1.7617449664429525,1.2634247356629578,74,151,1000
41,478,12,0,1.4441087613293058,1.3458308373196757,76,159,1000
42,515,8,0,1.694078947368421,1.2671911482834766,76,149,1000
43,571,7,0,1.903333333333334,1.4378968600550155,69,142,1000
44,559,10,0,1.6686567164179094,1.3111919150494271,83,164,1000
45,615,11,0,1.7930029154518956,1.638626588482778,70,150,1000
46,756,10,0,2.210526315789477,1.7901998653660085,76,153,1000
47,668,12,0,1.6911392405063288,1.5399246696436435,89,188,1000
48,596,12,0,1.6883852691218137,1.4417894299227374,78,161,1000
49,542,8,0,1.800664451827242,1.232936693575728,77,158,1000
50,498,5,0,1.6381578947368423,1.0750659944760232,83,161,1000
51,542,7,0,1.8885017421602788,1.5010859189885721,65,127,1000
52,487,8,0,1.5218750000000003,1.2290206553023733,77,161,1000
