Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,1089,13,0,9.990825688073397,4.179968573433246,43,66,1000
1,2971,74,0,5.431444241316273,7.34525078418077,84,187,1000
2,4407,44,0,7.200980392156859,7.281602426536476,106,215,1000
3,5297,94,0,8.149230769230766,9.901714580898531,105,217,1000
4,5456,62,0,8.44582043343654,9.18353799475122,103,211,1000
5,5276,65,0,8.079632465543643,9.0783788105532,106,207,1000
6,5210,60,0,8.127925117004676,8.975096634264377,103,207,1000
7,5068,68,0,8.006319115323857,8.757453852592239,106,213,1000
8,4908,61,0,7.516079632465538,8.41896423797338,103,212,1000
9,4885,53,0,7.680817610062893,8.801593089052922,98,195,1000
10,4939,71,0,7.506079027355621,8.411096143288617,107,218,1000
11,4905,60,0,7.511485451761103,8.020025153632336,111,217,1000
12,4494,47,0,7.33115823817292,7.87460704255095,99,203,1000
13,4476,63,0,7.349753694581278,8.399218954824068,96,190,1000
14,5220,69,0,7.86144578313253,8.90567743161125,105,212,1000
15,5357,92,0,8.07993966817495,8.721848386166721,116,239,1000
16,4832,64,0,7.5264797507788135,8.087860922195755,106,213,1000
17,4729,74,0,7.435534591194967,8.543760159702412,99,201,1000
18,4687,64,0,7.300623052959503,8.398887430107493,101,207,1000
19,4423,62,0,6.889408099688472,7.221603485611604,111,230,1000
20,4238,70,0,6.7808,7.8253132975701485,97,196,1000
21,4121,36,0,6.891304347826085,6.911250602857052,107,207,1000
22,4394,69,0,7.144715447154469,7.973502567921871,98,194,1000
23,4924,55,0,7.815873015873019,8.620477088321271,102,205,1000
24,5116,80,0,7.822629969418962,8.878922257458143,107,219,1000
25,5083,63,0,7.868421052631576,8.899944759821048,101,203,1000
26,5031,92,0,7.848673946957878,8.94395058936966,102,211,1000
27,4852,74,0,7.510835913312693,8.712587717005908,104,216,1000
28,4559,68,0,7.2250396196513496,7.945053804647599,103,207,1000
29,4654,67,0,7.4703049759229545,8.633033156568022,95,194,1000
30,5237,82,0,8.044546850998469,9.135872501915909,103,206,1000
31,5431,90,0,8.179216867469874,9.740654583940277,108,225,1000
32,5030,53,0,7.847113884555382,8.522673542590528,102,209,1000
33,4642,39,0,7.634868421052632,8.33018575488145,97,193,1000
34,4806,60,0,7.38248847926267,8.288431267427336,105,212,1000
35,5138,60,0,7.965891472868217,8.923697393711818,102,213,1000
36,5065,53,0,7.792307692307695,8.688316503489602,106,212,1000
37,4956,60,0,7.7802197802197774,8.184894697519475,110,216,1000
38,4781,64,0,7.5529225908372775,8.192548046969868,105,208,1000
39,4447,46,0,7.374792703150912,7.6730638200909835,106,207,1000
40,4618,45,0,7.78752107925801,8.820395174850038,91,182,1000
41,5084,82,0,7.6913767019667185,9.318687712203774,103,218,1000
42,5011,54,0,7.841940532081377,8.079254364566518,108,230,1000
43,4883,62,0,7.750793650793651,9.055198561640644,94,193,1000
44,5067,56,0,7.85581395348837,9.036295919262951,101,207,1000
45,5042,62,0,7.915227629513345,8.614875088250178,110,222,1000
46,4622,59,0,7.564648117839604,7.927561012410068,103,210,1000
47,4190,52,0,7.162393162393159,7.927061834719088,94,190,1000
48,4000,54,0,6.504065040650409,7.519977718168868,95,202,1000
49,4129,53,0,6.543581616481778,7.280170012137754,99,220,1000
50,3792,50,0,6.320000000000002,6.903648838027461,100,218,1000
51,2949,31,0,5.564150943396228,5.782824263377277,90,197,1000
52,2193,31,0,4.7060085836909895,4.710254924490779,88,189,1000
53,1406,31,0,3.820652173913042,3.419037519121647,80,160,1000
54,800,17,0,2.9962546816479407,2.4115918795559144,64,134,1000
55,426,12,0,2.265957446808511,1.8365017426035721,46,98,1000
56,217,8,0,1.7360000000000002,1.3207036247834443,36,63,1000
57,110,4,0,1.3253012048192774,1.0013214894540277,23,37,1000
58,48,3,0,1.1428571428571428,0.7181082387138522,12,24,1000
59,17,2,0,1.0,0.6123724356957945,6,10,1000
60,4,1,1,1.0,0.0,3,4,1000
