Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,3712,247238,1810,150,1648.253333,136.595580,19792,4,6787,247238,1810,197,1255.015228,136.595580,1000,11
2,1,3695,247238,1813,150,1648.253333,136.369553,19792,5,5792,247238,909,211,1171.744076,271.988999,1000,21
3,1,3717,247238,1817,150,1648.253333,136.069345,19792,4,5125,247238,609,213,1160.741784,405.973727,1000,22
4,1,3708,247238,1816,150,1648.253333,136.144273,19792,5,4713,247238,458,271,912.317343,539.820961,1000,28
5,1,3699,247238,1815,150,1648.253333,136.219284,19792,5,4423,247238,367,215,1149.944186,673.673025,1000,36
6,1,3734,247238,1817,150,1648.253333,136.069345,19792,5,4204,247238,307,281,879.850534,805.335505,1000,29
7,1,3708,247238,1820,150,1648.253333,135.845055,19792,4,4039,247238,263,286,864.468531,940.068441,1000,34
8,1,3714,247238,1820,150,1648.253333,135.845055,19792,4,3932,247238,231,209,1182.956938,1070.294372,1000,40
9,1,3727,247238,1820,152,1626.565789,135.845055,19792,5,3847,247238,206,236,1047.618644,1200.184466,1000,37
10,1,3652,247238,1818,152,1626.565789,135.994499,19792,5,3752,247238,185,217,1139.345622,1336.421622,1000,45
15,1,3727,247238,1830,152,1626.565789,135.102732,19792,5,3484,247238,125,255,969.560784,1977.904000,1000,50
20,1,3688,247238,1833,152,1626.565789,134.881615,19792,4,3354,247238,95,228,1084.377193,2602.505263,1000,60
25,1,3729,247238,1848,153,1615.934641,133.786797,19792,4,3240,247238,76,316,782.398734,3253.131579,1000,76
30,1,3751,247238,1849,153,1615.934641,133.714440,19792,4,3213,247238,64,264,936.507576,3863.093750,1000,92
35,1,3768,247238,1865,154,1605.441558,132.567292,19792,5,3114,247238,56,241,1025.883817,4414.964286,1000,93
40,1,3781,247238,1868,154,1605.441558,132.354390,19792,5,3099,247238,49,266,929.466165,5045.673469,1000,113
45,1,3758,247238,1885,154,1605.441558,131.160743,19792,4,3062,247238,44,266,929.466165,5619.045455,1000,126
50,1,3775,247238,1888,153,1615.934641,130.952331,19792,5,3056,247238,40,261,947.272031,6180.950000,1000,132
