Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,1647,26,0,14.198275862068966,7.11180259371237,42,68,1000
1,5083,88,0,8.319148936170208,10.618478014295489,96,186,1000
2,7476,93,0,10.354570637119107,12.29352241491493,118,239,1000
3,8004,88,0,11.257383966244722,13.051787354486288,106,222,1000
4,7617,91,0,10.788951841359786,13.07119369894763,104,216,1000
5,7284,85,0,10.775147928994095,12.223585125134838,104,206,1000
6,7640,92,0,10.914285714285713,13.095055644085058,103,205,1000
7,8325,123,0,11.451169188445665,13.725668003042237,110,224,1000
8,8530,132,0,11.863699582753819,14.151815269798973,109,218,1000
9,7987,110,0,11.15502793296089,13.179757306436318,107,222,1000
10,7554,90,0,10.730113636363642,13.00676711882041,98,207,1000
11,7943,128,0,11.234794908062222,13.728706099590218,104,209,1000
12,8205,89,0,11.348547717842346,13.47502902289022,108,219,1000
13,7923,80,0,11.112201963534377,13.063104394001892,106,213,1000
14,7881,94,0,11.274678111587985,13.421493144474828,102,211,1000
15,7697,90,0,10.90226628895183,12.528223817435956,109,221,1000
16,7131,66,0,10.334782608695644,11.395493801509808,111,224,1000
17,7087,60,0,10.345985401459846,12.63100945273608,95,195,1000
18,7571,93,0,10.784900284900282,13.296171938612284,104,215,1000
19,7590,70,0,10.690140845070419,11.933751722048333,113,227,1000
20,7378,70,0,10.677279305354558,12.36562751709111,101,210,1000
21,7651,113,0,10.99281609195403,13.388976679292837,102,212,1000
22,7856,77,0,11.352601156069364,12.860712412601858,108,218,1000
23,7943,90,0,11.218926553672313,13.262610629628211,103,214,1000
24,8190,108,0,11.359223300970859,13.459917923487195,109,219,1000
25,8423,90,0,11.813464235624126,14.091205258981777,103,212,1000
26,8471,101,0,11.716459197787009,14.213297689581697,106,217,1000
27,8436,124,0,11.716666666666674,14.38010718370148,102,213,1000
28,8207,103,0,11.478321678321679,13.771668131263782,103,215,1000
29,7829,99,0,10.94965034965034,13.440302045164321,100,221,1000
30,6936,87,0,10.052173913043479,11.588751473926235,106,226,1000
31,5614,54,0,8.77187499999999,10.154109365717638,96,213,1000
32,4141,72,0,7.090753424657531,8.042574328705314,98,210,1000
33,2414,24,0,4.916496945010185,4.134369723390076,106,216,1000
34,1055,20,0,4.011406844106464,2.8612745915141686,68,130,1000
35,336,23,0,2.317241379310344,2.1399099418870344,40,82,1000
36,115,6,0,1.4375,1.3947800516228581,18,35,1000
37,48,4,0,1.1162790697674423,1.02838991876996,11,18,1000
38,18,2,0,1.0,0.4850712500726659,8,12,1000
39,2,1,1,1.0,0.0,2,2,1000
