Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,456,9,0,4.30188679245283,2.8724299032294516,27,54,1000
1,1121,34,0,3.0461956521739117,3.6014736137446226,71,161,1000
2,1434,28,0,3.350467289719626,2.746694801724819,103,200,1000
3,1412,18,0,3.6580310880829026,3.149462994270256,80,165,1000
4,1364,18,0,3.6373333333333338,3.04541266898604,80,161,1000
5,1677,31,0,3.7685393258426956,3.6536910716713975,89,176,1000
6,1949,29,0,4.227765726681127,3.7634063544181564,99,198,1000
7,1933,27,0,4.156989247311827,4.085703571534902,90,178,1000
8,1833,25,0,3.891719745222929,3.463941214615433,97,191,1000
9,1772,24,0,3.920353982300884,3.3637999653684725,97,191,1000
10,1677,24,0,3.936619718309859,3.4591017985443324,89,180,1000
11,1528,22,0,3.708737864077668,3.300463929525011,88,171,1000
12,1393,17,0,3.646596858638744,2.8253123655685775,89,172,1000
13,1430,25,0,3.8753387533875343,3.2580442180520124,81,158,1000
14,1493,19,0,3.5129411764705885,2.9324867190459196,94,185,1000
15,1421,17,0,3.5703517587939704,2.874157482838335,89,176,1000
16,1456,23,0,3.603960396039602,3.2765933041513966,83,165,1000
17,1566,30,0,3.81021897810219,3.4729607388214268,90,174,1000
18,1676,18,0,4.028846153846155,3.221783479055179,95,180,1000
19,1734,34,0,4.013888888888889,3.6891754455303554,94,184,1000
20,1638,22,0,3.985401459854014,3.384293855357792,89,177,1000
21,1395,24,0,3.4701492537313428,3.0343592630518814,86,171,1000
22,1172,15,0,3.4985074626865678,2.692720978611916,79,151,1000
23,1106,18,0,3.1509971509971515,2.6158839811522587,81,155,1000
24,1240,22,0,3.1472081218274113,2.730220064452862,85,173,1000
25,1390,20,0,3.6482939632545954,2.8932186552423604,89,172,1000
26,1472,22,0,3.5728155339805827,3.154117354674263,90,178,1000
27,1593,16,0,3.923645320197045,3.1539248544427725,92,174,1000
