Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,123,2,0,0.06784335355763942,0.2664616356305721,55,86,19792
1,151,3,0,0.08255877528704206,0.3018303254602278,64,102,19792
2,175,2,0,0.0935328701229287,0.3020710577314173,82,126,19792
3,221,3,0,0.11711711711711707,0.35457703890721726,91,146,19792
4,179,3,0,0.09712425393380361,0.3242085146803404,76,121,19792
5,188,2,0,0.10140237324703344,0.3260057325119154,81,128,19792
6,165,3,0,0.08899676375404512,0.2995909551546239,76,117,19792
7,193,3,0,0.10466377440347074,0.3217558073033644,89,137,19792
8,180,2,0,0.0972447325769854,0.30357860920276125,87,132,19792
9,211,3,0,0.11295503211991459,0.334714012041366,96,149,19792
10,191,2,0,0.10274341043571811,0.31925640916627646,87,135,19792
11,171,2,0,0.09208400646203557,0.29475811504925187,83,126,19792
12,187,2,0,0.10048361096184859,0.3164058615457409,85,132,19792
13,148,3,0,0.08008658008658019,0.2851183382079285,69,106,19792
14,170,3,0,0.09159482758620696,0.3048828853055015,78,120,19792
15,148,3,0,0.08008658008658007,0.2851183382079285,69,106,19792
16,144,2,0,0.07826086956521751,0.27859122291420757,68,104,19792
17,156,2,0,0.08473655621944592,0.2843576831610135,76,115,19792
18,148,2,0,0.08034744842562438,0.2778326312943711,72,109,19792
19,134,2,0,0.0722761596548004,0.2651914302172849,65,98,19792
20,137,2,0,0.07381465517241376,0.2716500367166971,64,98,19792
21,149,2,0,0.08080260303687642,0.2861994987616679,68,105,19792
22,145,2,0,0.07876154263986956,0.27542415542176557,70,106,19792
23,148,2,0,0.0798704803022127,0.280945611781542,70,107,19792
24,118,2,0,0.06364617044228689,0.25287313070169015,56,85,19792
25,90,2,0,0.04891304347826087,0.2231781733425758,43,65,19792
26,107,3,0,0.058406113537117985,0.2503417062350616,48,75,19792
27,95,2,0,0.05208333333333339,0.2366015596810771,42,66,19792
28,106,2,0,0.05773420479302837,0.24246708171972103,50,76,19792
29,108,2,0,0.05850487540628392,0.24381950925376916,51,78,19792
30,84,2,0,0.04547915538711424,0.21099227847250135,42,63,19792
31,114,2,0,0.061855670103092744,0.24762548076331237,55,83,19792
32,112,2,0,0.06120218579234994,0.24872046004517473,53,81,19792
33,113,2,0,0.06158038147138953,0.24271435892690457,56,84,19792
34,114,2,0,0.06178861788617895,0.24749953171692074,55,83,19792
35,119,2,0,0.06474428726877059,0.25696125265248443,55,85,19792
36,107,2,0,0.05824714207947729,0.25001912323101805,47,74,19792
37,101,2,0,0.054801953336950586,0.23237549958707585,49,74,19792
38,112,2,0,0.061002178649237467,0.25052289293846836,52,80,19792
39,156,2,0,0.0852459016393441,0.2870464205254998,75,114,19792
40,203,2,0,0.10967044840626684,0.32610469134224396,94,145,19792
41,180,2,0,0.09594882729211077,0.3035164672852051,86,131,19792
42,223,3,0,0.11861702127659565,0.34875922717440333,97,153,19792
43,252,3,0,0.13533834586466176,0.3708151678190022,111,174,19792
44,205,3,0,0.10974304068522497,0.32607013603697893,96,147,19792
45,212,2,0,0.1125265392781316,0.33087243152649803,98,151,19792
46,229,3,0,0.122920021470746,0.3551457810863243,99,156,19792
47,202,2,0,0.10942578548212355,0.332434553603562,90,140,19792
48,200,2,0,0.10678056593699936,0.3207928602615173,94,144,19792
49,176,2,0,0.09457281031703373,0.2999598408463018,85,129,19792
50,169,2,0,0.09179793590439987,0.2998968562111025,79,121,19792
51,201,2,0,0.10882512181916633,0.33007940089648097,90,140,19792
52,207,3,0,0.1117107393416082,0.3334127778444612,94,146,19792
53,214,2,0,0.11449973247726074,0.33005827891224737,101,154,19792
54,235,3,0,0.12513312034078805,0.34668205593336887,109,168,19792
55,206,2,0,0.1105150214592274,0.32205885045419436,99,150,19792
56,214,2,0,0.11486849168008606,0.325614467276756,104,157,19792
57,182,2,0,0.0981132075471697,0.30471253383716,88,133,19792
58,146,3,0,0.07900432900432905,0.28731093495281157,66,102,19792
59,201,3,0,0.10870740941049217,0.33480450028887865,89,139,19792
60,164,2,0,0.08898534997287033,0.2941765616177441,78,119,19792
61,169,2,0,0.09061662198391421,0.29085285175827696,83,125,19792
62,212,2,0,0.11391724879097255,0.334285904977813,97,150,19792
63,177,2,0,0.0961434003259099,0.3110139607364863,80,124,19792
64,192,4,0,0.10278372591006416,0.3225712882559546,89,137,19792
65,227,3,0,0.12204301075268814,0.36176621048473867,94,151,19792
66,203,2,0,0.10925726587728735,0.3239005470288609,95,146,19792
67,181,2,0,0.09643047416089515,0.3110835353713633,82,127,19792
68,194,2,0,0.10391001606855926,0.32063831105789575,89,137,19792
69,199,3,0,0.10785907859078585,0.32895024922386573,90,140,19792
70,212,2,0,0.11428571428571416,0.32495243081582154,103,156,19792
71,189,2,0,0.10037174721189579,0.3092874638089439,90,137,19792
72,189,2,0,0.10101549973276336,0.3136025538666982,88,135,19792
73,168,2,0,0.09041980624327234,0.29609691516864967,80,122,19792
74,145,2,0,0.07829373650107986,0.2746712668121281,70,106,19792
75,110,2,0,0.059331175836030134,0.23858004418664217,55,82,19792
76,101,2,0,0.055100927441352976,0.23530478972118934,48,73,19792
77,159,2,0,0.08674304418985274,0.29847488609199174,71,111,19792
78,199,2,0,0.10803474484256247,0.32083294447394395,94,144,19792
79,235,2,0,0.12500000000000014,0.35109878463567085,105,164,19792
80,207,3,0,0.10940803382663829,0.327121103395303,96,148,19792
81,231,2,0,0.12313432835820916,0.34141350892957095,108,166,19792
82,216,2,0,0.11675675675675677,0.3408230902907843,97,151,19792
83,252,2,0,0.1364374661613428,0.3557435855507899,119,182,19792
84,237,2,0,0.12714592274678088,0.34896243440733,109,168,19792
85,244,2,0,0.1298563065460354,0.3592050307297759,108,169,19792
86,213,4,0,0.11359999999999984,0.347888278046464,91,144,19792
87,181,3,0,0.09736417428725118,0.3124412405071529,83,128,19792
88,167,3,0,0.08997844827586207,0.304480113795627,75,117,19792
89,92,2,0,0.05008165487207401,0.23031721015588857,42,65,19792
90,83,2,0,0.04508419337316677,0.21525769686540241,39,60,19792
91,70,1,0,0.03844041735310269,0.19230980440693743,36,53,19792
92,72,2,0,0.03956043956043953,0.20053755185510738,35,53,19792
93,86,2,0,0.047045951859956255,0.21690216851405508,42,63,19792
94,114,2,0,0.061990212071778086,0.24567323926659052,56,84,19792
95,154,2,0,0.08369565217391305,0.2866533276787243,73,111,19792
96,196,2,0,0.10566037735849056,0.3228869287175351,90,139,19792
97,207,3,0,0.11117078410311484,0.3422494476430299,88,140,19792
