Epoch,Total Events,Max events per LP,Mean,Std Dev
0,129,2,1.29,0.49838121792844314
1,236,5,1.2620320855614984,0.797038968460484
2,327,11,1.27734375,1.2944960314694662
3,402,9,1.435714285714285,1.3100697088663236
4,414,8,1.3529411764705874,1.0587378085947996
5,516,10,1.7551020408163274,1.358034298825927
6,523,9,1.5945121951219505,1.177087737229145
7,584,8,1.6781609195402305,1.362268432574
8,643,9,1.831908831908832,1.4273678283396045
9,575,12,1.6106442577030808,1.4249773818634006
10,580,8,1.8124999999999993,1.447893291760832
11,519,6,1.6634615384615388,1.0388954398063155
12,471,11,1.490506329113925,1.0852130490666694
13,485,10,1.6112956810631227,1.2021114683261636
14,419,6,1.3966666666666667,1.0628992134796256
15,464,8,1.622377622377622,1.1535099497921193
16,409,7,1.3543046357615898,1.0645127470426614
17,352,7,1.1772575250836121,0.8306327966401623
18,334,7,1.3522267206477734,1.0405522988298943
19,348,5,1.4089068825910926,0.9620870032710175
20,393,6,1.5,1.1505454312073164
21,432,9,1.5104895104895102,1.2779761020588152
22,527,8,1.7055016181229765,1.4947968711079094
23,613,15,1.7414772727272727,1.553852332336336
24,677,14,1.912429378531073,1.580946493437331
25,630,12,1.769662921348314,1.600274940770467
26,746,10,2.226865671641794,1.9520894754660247
27,750,10,2.1367521367521363,1.6847516963601128
28,739,18,1.9759358288770044,1.9599087783525848
29,694,13,1.9171270718232045,1.5890151065168538
30,599,7,1.6638888888888892,1.2313574224513613
31,572,9,1.9066666666666667,1.3604379909842508
32,453,6,1.4565916398713827,1.1572547982998158
33,442,7,1.4983050847457628,1.206204414798826
34,465,13,1.6315789473684215,1.2309331589524874
35,524,8,1.7643097643097638,1.3145517213279314
36,488,10,1.520249221183801,1.362578415246148
37,508,8,1.6334405144694535,1.2904265594449864
38,466,6,1.558528428093646,1.04548526433782
39,462,6,1.5400000000000005,1.1310751980655087
40,525,9,1.7617449664429525,1.2634247356629578
41,478,12,1.4441087613293058,1.3458308373196757
42,515,8,1.694078947368421,1.2671911482834766
43,571,7,1.903333333333334,1.4378968600550155
44,559,10,1.6686567164179094,1.3111919150494271
45,615,11,1.7930029154518956,1.638626588482778
46,756,10,2.210526315789477,1.7901998653660085
47,668,12,1.6911392405063288,1.5399246696436435
48,596,12,1.6883852691218137,1.4417894299227374
49,542,8,1.800664451827242,1.232936693575728
50,498,5,1.6381578947368423,1.0750659944760232
51,542,7,1.8885017421602788,1.5010859189885721
52,487,8,1.5218750000000003,1.2290206553023733
53,449,5,1.3524096385542181,1.0041726724824733
54,445,4,1.513605442176871,0.9226863477653363
55,416,6,1.4699646643109539,1.0322713021779462
56,399,10,1.5171102661596954,1.23509897585634
57,425,8,1.6037735849056605,1.1987939431941554
58,465,6,1.5870307167235491,1.1272325134878831
59,485,13,1.544585987261146,1.3540564971133586
60,509,10,1.5956112852664572,1.3882184590096516
61,489,7,1.5825242718446597,1.2341799305085157
62,468,9,1.5652173913043472,1.255161505784243
63,501,10,1.782918149466192,1.418950828602192
64,495,8,1.5325077399380798,1.2663939472369141
65,548,7,1.6758409785932709,1.2865981488874112
66,595,8,1.7814371257485027,1.2388177428253364
67,605,9,1.6899441340782122,1.3540930780774072
68,611,9,1.7813411078717205,1.3877077138557228
69,549,9,1.6005830903790088,1.3661315633880793
70,519,9,1.621875,1.3216865768870887
71,438,6,1.4455445544554453,1.0275211042587242
72,422,6,1.55719557195572,1.2305726890726247
73,394,8,1.5212355212355213,1.0901838345673434
74,389,7,1.3794326241134751,0.9172151670704759
75,425,6,1.5682656826568266,1.0688988533911528
76,407,10,1.4381625441696113,1.1815182031038907
77,400,9,1.3698630136986303,1.2213096380645536
78,522,7,1.9550561797752812,1.5285019868811547
79,492,11,1.547169811320755,1.3133534663372346
80,488,11,1.426900584795321,1.3824120560552589
81,463,5,1.5641891891891895,1.0427805161030224
82,378,6,1.277027027027027,0.8621686959545748
83,517,8,1.9884615384615385,1.6214838818841149
84,428,11,1.39413680781759,1.2619487034907821
85,545,9,1.656534954407295,1.3184761735687034
86,570,8,1.7378048780487805,1.2408086781926837
87,521,10,1.4885714285714273,1.3062054732837203
88,647,11,2.254355400696863,2.014312473371887
89,510,9,1.4782608695652166,1.210524291229309
90,527,8,1.582582582582583,1.33869539416942
91,562,9,1.8733333333333333,1.612230290805522
92,547,9,1.5994152046783632,1.2110438567590966
93,608,9,1.7674418604651156,1.4502390964400234
94,586,11,1.7865853658536586,1.3692348983128
95,574,10,1.7393939393939395,1.4498588955427472
96,558,8,1.7602523659305993,1.3914057864951437
97,510,9,1.683168316831683,1.4934560993153632
98,457,10,1.5597269624573378,1.2716680585839186
99,460,10,1.631205673758865,1.230752728143416
100,440,8,1.5068493150684934,1.2310226818362873
101,598,8,1.9867109634551487,1.655241013522221
102,613,11,1.7316384180790967,1.4802817756012183
103,602,15,1.5636363636363642,1.4185259634884768
104,579,10,1.7283582089552243,1.2974878964221794
105,475,6,1.5224358974358974,1.05757556375328
106,468,6,1.720588235294118,1.243083753122876
107,439,5,1.5349650349650346,1.1442462464248535
108,380,8,1.3013698630136983,1.2120237429410796
109,393,6,1.4086021505376347,0.9622727795679961
110,371,5,1.3999999999999995,0.8867714679463008
111,313,6,1.1138790035587192,0.9341838911319508
112,357,7,1.5387931034482758,1.1427370160034367
113,327,6,1.2339622641509442,0.8822628010325284
114,430,9,1.5925925925925926,1.196626586100286
115,463,10,1.5180327868852466,1.2087276091543582
116,431,8,1.334365325077399,1.2233348993881417
117,373,6,1.3321428571428569,1.0576749951139515
118,339,6,1.4803493449781664,1.0661489397046462
119,441,8,1.9090909090909092,1.3006535298622313
120,492,9,1.656565656565657,1.239782153065524
121,569,10,1.7035928143712575,1.4863297891485499
122,586,11,1.6936416184971095,1.503161896032217
123,541,11,1.6149253731343287,1.3328252972003753
124,497,7,1.7499999999999996,1.349322562655747
125,430,6,1.4527027027027026,0.9869278438375438
126,441,12,1.6036363636363633,1.2869308870960832
127,380,13,1.301369863013698,1.1862318000078274
128,365,6,1.3082437275985663,1.0344620111987648
129,377,8,1.4500000000000008,1.0911189396855596
130,524,8,1.9848484848484849,1.6173246861573494
131,644,11,1.9166666666666674,1.5756227545566295
132,648,13,1.6446700507614207,1.7373708655449105
133,663,10,1.7493403693931404,1.4357374956199211
134,640,7,1.767955801104973,1.2637151043953923
135,545,11,1.646525679758308,1.3207476125879363
136,440,8,1.4666666666666663,1.2679041071674668
137,431,5,1.5283687943262407,0.9951359456574089
138,390,7,1.2871287128712865,0.9560192750353235
139,418,11,1.407407407407408,1.2325864145240548
140,468,9,1.6137931034482758,1.3267866163071549
141,482,15,1.5205047318611984,1.2964370835208983
142,530,8,1.7377049180327877,1.2126205765367037
143,559,7,1.7414330218068539,1.1229689176603033
144,580,8,1.676300578034682,1.2226671543230945
145,586,8,1.7034883720930236,1.3994540938513635
146,594,7,1.6875,1.32435545791807
147,597,10,1.7662721893491127,1.2688174159003056
148,602,13,1.846625766871165,1.4990574354918016
149,696,9,2.0530973451327426,1.5240131619230926
150,640,9,1.6368286445012787,1.3591377993939755
151,690,12,1.8110236220472447,1.6657491603569847
152,658,11,1.8483146067415723,1.4972359404272826
153,522,12,1.470422535211269,1.2582377558864575
154,449,6,1.5536332179930796,1.1356267926682895
155,382,7,1.5098814229249011,1.1772062981582132
156,410,7,1.576923076923077,1.0047407673146385
157,353,8,1.2473498233215545,1.0428505539620267
158,295,4,1.0805860805860812,0.8406647978270159
159,353,7,1.5550660792951543,1.215791511748205
160,360,10,1.445783132530121,1.142150758877594
161,377,11,1.3464285714285718,1.1691930074998236
162,365,6,1.3176895306859209,1.0700862102945066
163,388,5,1.337931034482759,0.9573658327869516
164,378,6,1.3846153846153846,0.9937588042809848
165,331,6,1.2080291970802928,0.9201495653357843
166,399,6,1.6906779661016949,1.1381573228677782
167,415,12,1.4928057553956835,1.236458217014077
168,478,13,1.5519480519480526,1.2454069768590599
169,528,8,1.6815286624203822,1.3233620489474416
170,565,9,1.7546583850931676,1.4993435868228855
171,533,12,1.5676470588235294,1.3051340844181136
172,478,9,1.503144654088051,1.2552688393867553
173,573,8,1.9826989619377162,1.7067202697572639
174,570,10,1.8327974276527317,1.6513000413534802
175,508,13,1.5727554179566563,1.6746560300180546
176,563,7,1.8279220779220786,1.3504491593611068
177,458,7,1.3963414634146347,0.9681086099191993
178,492,9,1.5819935691318314,1.254230472193156
179,511,7,1.7681660899653988,1.4783943148213599
180,450,9,1.371951219512195,1.2834180652986378
181,461,14,1.5521885521885528,1.4582489933101708
182,389,9,1.3745583038869258,1.108152925840831
183,313,5,1.2038461538461536,0.8703528637938223
184,287,5,1.2424242424242424,0.8140725382278328
185,292,6,1.3272727272727276,0.9614400434991617
186,387,5,1.5117187500000004,1.1681472572864615
187,469,10,1.6006825938566556,1.306306965699236
188,512,8,1.5192878338278935,1.260815860531195
189,583,10,1.7560240963855422,1.3364944358511615
190,588,9,1.729411764705883,1.554426434690343
191,497,11,1.5245398773006136,1.2881754311745865
192,482,7,1.662068965517241,1.3191204454304237
193,449,6,1.700757575757576,1.0984950792360826
194,408,8,1.4729241877256325,1.2526015412106393
195,377,12,1.370909090909091,1.3071494487955064
196,326,7,1.168458781362008,0.8026091384044342
197,349,5,1.4362139917695482,0.9175995383041469
198,373,8,1.5477178423236515,1.0948767906581969
199,373,11,1.418250950570343,1.27212090055875
200,387,7,1.3531468531468525,1.0943750404846033
201,379,6,1.297945205479452,0.902609365722701
202,332,5,1.2028985507246372,0.8193959663499807
203,364,6,1.5757575757575757,1.1580047353365717
204,329,5,1.3107569721115542,1.0074938335797372
205,319,5,1.1771217712177122,0.9219507397894604
