Epoch,Total Event,Max,Min,Mean,Std Dev
57,55,8,4,5.500000,1.581139
58,49,6,4,4.900000,0.737865
59,65,13,5,6.500000,2.368778
60,64,10,5,6.400000,1.776388
61,55,7,5,5.500000,0.849837
62,55,9,4,5.500000,1.354006
63,62,10,5,6.200000,1.549193
64,60,8,5,6.000000,0.942809
65,57,7,4,5.700000,1.059350
66,59,8,5,5.900000,1.197219
67,62,9,5,6.200000,1.135292
68,65,9,5,6.500000,1.269296
69,66,9,5,6.600000,1.429841
70,62,9,5,6.200000,1.398412
71,49,6,4,4.900000,0.567646
72,53,6,5,5.300000,0.483046
73,49,8,4,4.900000,1.286684
74,41,7,3,4.100000,1.197219
75,50,6,4,5.000000,0.942809
76,50,10,4,5.000000,1.825742
77,61,9,4,6.100000,1.595131
78,61,7,6,6.100000,0.316228
79,65,11,4,6.500000,2.223611
80,71,11,4,7.100000,2.282786
81,42,5,4,4.200000,0.421637
82,38,6,3,3.800000,1.229273
83,66,8,6,6.600000,0.699206
84,63,11,5,6.300000,1.888562
85,52,9,4,5.200000,1.398412
86,57,8,5,5.700000,1.059350
87,67,10,5,6.700000,1.888562
88,82,11,7,8.200000,1.135292
89,63,9,4,6.300000,1.567021
90,61,8,5,6.100000,0.737865
91,68,9,6,6.800000,1.032796
92,59,9,5,5.900000,1.370320
93,66,9,5,6.600000,1.173788
94,64,11,5,6.400000,1.837873
95,68,10,5,6.800000,1.398412
96,61,8,5,6.100000,0.737865
97,69,9,5,6.900000,1.286684
98,56,10,5,5.600000,1.577621
99,56,10,4,5.600000,1.646545
100,53,8,4,5.300000,1.159502
101,67,8,6,6.700000,0.823273
102,70,11,5,7.000000,2.054805
103,72,15,5,7.200000,3.084009
104,62,10,5,6.200000,1.549193
105,46,6,4,4.600000,0.699206
106,53,6,5,5.300000,0.483046
107,46,5,4,4.600000,0.516398
108,56,8,4,5.600000,1.349897
109,45,6,4,4.500000,0.707107
110,39,5,3,3.900000,0.737865
111,43,6,3,4.300000,0.823273
112,50,7,4,5.000000,0.942809
113,40,6,3,4.000000,1.154701
114,54,9,4,5.400000,1.577621
115,61,10,4,6.100000,1.791957
116,59,8,4,5.900000,1.197219
117,47,6,4,4.700000,0.823273
118,46,6,4,4.600000,0.699206
119,53,8,5,5.300000,0.948683
120,60,9,5,6.000000,1.490712
121,71,10,5,7.100000,1.595131
122,70,11,6,7.000000,1.885618
123,65,11,5,6.500000,2.223611
124,60,7,5,6.000000,0.471405
125,46,6,4,4.600000,0.843274
126,58,12,4,5.800000,2.250926
127,55,13,3,5.500000,2.915476
128,45,6,3,4.500000,0.849837
129,48,8,4,4.800000,1.229273
130,61,8,5,6.100000,1.197219
131,78,11,6,7.800000,1.873796
132,95,13,7,9.500000,1.957890
133,67,10,6,6.700000,1.251666
134,59,7,5,5.900000,0.567646
135,62,11,5,6.200000,1.932184
136,57,8,5,5.700000,1.059350
