Epoch,Total Event,Max,Min,Mean,Std Dev
79,65,11,4,6.5,2.223611
80,71,11,4,7.1,2.282786
81,42,5,4,4.2,0.421637
82,38,6,3,3.8,1.229273
83,66,8,6,6.6,0.699206
84,63,11,5,6.3,1.888562
85,52,9,4,5.2,1.398412
86,57,8,5,5.7,1.05935
87,67,10,5,6.7,1.888562
88,82,11,7,8.2,1.135292
89,63,9,4,6.3,1.567021
90,61,8,5,6.1,0.737865
91,68,9,6,6.8,1.032796
92,59,9,5,5.9,1.37032
93,66,9,5,6.6,1.173788
94,64,11,5,6.4,1.837873
95,68,10,5,6.8,1.398412
96,61,8,5,6.1,0.737865
97,69,9,5,6.9,1.286684
98,56,10,5,5.6,1.577621
99,56,10,4,5.6,1.646545
100,53,8,4,5.3,1.159502
101,67,8,6,6.7,0.823273
102,70,11,5,7,2.054805
103,72,15,5,7.2,3.084009
104,62,10,5,6.2,1.549193
105,46,6,4,4.6,0.699206
106,53,6,5,5.3,0.483046
107,46,5,4,4.6,0.516398
108,56,8,4,5.6,1.349897
109,45,6,4,4.5,0.707107
110,39,5,3,3.9,0.737865
111,43,6,3,4.3,0.823273
112,50,7,4,5,0.942809
113,40,6,3,4,1.154701
114,54,9,4,5.4,1.577621
115,61,10,4,6.1,1.791957
116,59,8,4,5.9,1.197219
117,47,6,4,4.7,0.823273
118,46,6,4,4.6,0.699206
119,53,8,5,5.3,0.948683
120,60,9,5,6,1.490712
121,71,10,5,7.1,1.595131
122,70,11,6,7,1.885618
123,65,11,5,6.5,2.223611
124,60,7,5,6,0.471405
125,46,6,4,4.6,0.843274
126,58,12,4,5.8,2.250926
127,55,13,3,5.5,2.915476
128,45,6,3,4.5,0.849837
129,48,8,4,4.8,1.229273
130,61,8,5,6.1,1.197219
131,78,11,6,7.8,1.873796
132,95,13,7,9.5,1.95789
133,67,10,6,6.7,1.251666
134,59,7,5,5.9,0.567646
135,62,11,5,6.2,1.932184
136,57,8,5,5.7,1.05935
137,42,5,4,4.2,0.421637
138,44,7,3,4.4,1.173788
139,55,11,4,5.5,2.068279
140,58,9,5,5.8,1.229273
