Epoch,Total Events,Max events per LP,Mean,Std Dev
176,19,2,0.114457831,0.371934347
177,1,1,0.006369427,0.079808688
178,1,1,0.006369427,0.079808688
179,1,1,0.006410256,0.080064077
180,1,1,0.006410256,0.080064077
181,13,2,0.083333333,0.299641363
182,15,2,0.096153846,0.336564161
183,1,1,0.006849315,0.082760589
184,1,1,0.006849315,0.082760589
185,2,2,0.013793103,0.16609096
186,2,2,0.013793103,0.16609096
187,3,1,0.020833333,0.14332466
188,1,1,0.006944444,0.083333333
189,1,1,0.006944444,0.083333333
190,2,1,0.013986014,0.117845326
191,9,1,0.063380282,0.244508154
192,21,2,0.144827586,0.424580027
193,1,1,0.007462687,0.086386843
194,1,1,0.007462687,0.086386843
195,1,1,0.007518797,0.086710997
196,277,10,1.910344828,1.22993474
197,6,1,0.032432432,0.177626339
198,6,1,0.032432432,0.177626339
199,1,1,0.005494505,0.074124932
200,1,1,0.005494505,0.074124932
201,10,2,0.055248619,0.252185049
202,12,2,0.065217391,0.288366336
203,1,1,0.005555556,0.074535599
204,1,1,0.005555556,0.074535599
205,8,1,0.044692737,0.207208006
206,10,2,0.055248619,0.252185049
207,16,2,0.091428571,0.308287286
208,26,2,0.145251397,0.42547702
209,1,1,0.00617284,0.07856742
210,1,1,0.00617284,0.07856742
211,19,2,0.117283951,0.376083156
212,31,2,0.18902439,0.490024689
213,1,1,0.006711409,0.081923192
214,1,1,0.006711409,0.081923192
215,1,1,0.006756757,0.082199494
216,1,1,0.006756757,0.082199494
217,16,2,0.108108108,0.352544398
218,14,2,0.097902098,0.362205399
219,19,4,0.141791045,0.536670116
220,248,6,1.810218978,1.416981292
221,4,1,0.025316456,0.157583951
222,6,2,0.037735849,0.221810515
223,4,1,0.025806452,0.159071457
224,6,2,0.038461538,0.223884054
225,5,1,0.032894737,0.1789507
226,7,2,0.045751634,0.238963477
227,4,1,0.026845638,0.162177277
228,7,2,0.046666667,0.241268089
229,1,1,0.006802721,0.08247861
230,1,1,0.006802721,0.08247861
231,8,2,0.054794521,0.256792467
232,1,1,0.006849315,0.082760589
233,1,1,0.006849315,0.082760589
234,11,2,0.074829932,0.332867067
235,1,1,0.007092199,0.084215192
236,1,1,0.007092199,0.084215192
237,4,1,0.028571429,0.167196827
238,12,2,0.085106383,0.327094606
239,13,2,0.094890511,0.340484337
240,1,1,0.007518797,0.086710997
241,1,1,0.007518797,0.086710997
242,16,2,0.120300752,0.389980458
243,294,8,2.115107914,1.274494141
244,8,1,0.039215686,0.194585254
245,8,1,0.039215686,0.194585254
246,1,1,0.005,0.070710678
247,1,1,0.005,0.070710678
248,15,1,0.075376884,0.264664327
249,15,1,0.074257426,0.262840763
250,2,1,0.010309278,0.101271232
251,2,1,0.010309278,0.101271232
252,2,1,0.010416667,0.101794544
253,2,1,0.010416667,0.101794544
254,12,2,0.063157895,0.264696145
255,14,2,0.073298429,0.298891126
256,1,1,0.005464481,0.073922127
257,1,1,0.005464481,0.073922127
258,14,1,0.076923077,0.267204444
259,15,1,0.082417582,0.275758485
260,1,1,0.005780347,0.076028592
261,1,1,0.005780347,0.076028592
262,1,1,0.005813953,0.076249285
263,1,1,0.005813953,0.076249285
264,12,2,0.069767442,0.27744438
265,14,2,0.080924855,0.313152129
266,1,1,0.006134969,0.078326045
267,1,1,0.006134969,0.078326045
268,15,2,0.09202454,0.348006952
269,17,2,0.104294479,0.378650902
270,2,1,0.012987013,0.113587546
271,2,1,0.012987013,0.113587546
272,20,2,0.131578947,0.44101344
273,1,1,0.006622517,0.081378846
274,1,1,0.006622517,0.081378846
275,28,2,0.183006536,0.518574825
276,1,1,0.007194245,0.084818893
277,1,1,0.007194245,0.084818893
278,25,3,0.18115942,0.569741999
279,265,7,1.790540541,1.386295305
280,1,1,0.006711409,0.081923192
281,1,1,0.006711409,0.081923192
282,4,1,0.027027027,0.162712799
283,4,1,0.026845638,0.162177277
284,1,1,0.006849315,0.082760589
285,1,1,0.006849315,0.082760589
286,3,1,0.020689655,0.142836616
287,3,1,0.020547945,0.142353522
288,1,1,0.006944444,0.083333333
289,1,1,0.006944444,0.083333333
290,3,1,0.020979021,0.143817738
291,9,2,0.062068966,0.293936162
292,5,1,0.035714286,0.186243219
293,1,1,0.007142857,0.084515425
294,9,2,0.063380282,0.296905762
295,3,1,0.022058824,0.147417862
296,1,1,0.007352941,0.085749293
297,1,1,0.007352941,0.085749293
298,2,1,0.014814815,0.121261109
299,1,1,0.007462687,0.086386843
300,1,1,0.007462687,0.086386843
301,2,1,0.015037594,0.122162485
302,3,1,0.022556391,0.149045723
303,1,1,0.007575758,0.087038828
304,1,1,0.007575758,0.087038828
305,7,2,0.053030303,0.256648806
306,13,2,0.1,0.37041774
307,156,7,1.164179104,0.951406002
308,1,1,0.006849315,0.082760589
309,1,1,0.006849315,0.082760589
310,1,1,0.006849315,0.082760589
311,1,1,0.006849315,0.082760589
312,5,1,0.034482759,0.183098073
313,5,1,0.034013605,0.181883825
314,5,1,0.034722222,0.183714374
315,5,1,0.034722222,0.183714374
316,1,1,0.007092199,0.084215192
317,1,1,0.007092199,0.084215192
318,5,1,0.035714286,0.186243219
319,5,1,0.035460993,0.185601244
320,1,1,0.007246377,0.085125653
321,1,1,0.007246377,0.085125653
322,3,1,0.02189781,0.146886976
323,5,1,0.03649635,0.188209799
324,5,1,0.037037037,0.189555939
325,6,2,0.044776119,0.241102469
326,4,2,0.030769231,0.213442131
327,12,2,0.091603053,0.400967708
328,1,1,0.0078125,0.088388348
329,1,1,0.0078125,0.088388348
330,12,2,0.09375,0.364518883
331,11,2,0.088,0.311500013
332,16,2,0.133333333,0.387479104
333,109,3,0.931623932,0.897568514
334,2,1,0.013245033,0.114702802
335,2,1,0.013245033,0.114702802
336,4,1,0.026845638,0.162177277
337,4,1,0.026845638,0.162177277
338,1,1,0.006849315,0.082760589
339,1,1,0.006849315,0.082760589
340,7,2,0.048275862,0.245261609
341,9,2,0.06122449,0.292005109
342,1,1,0.007042254,0.083918136
343,1,1,0.007042254,0.083918136
344,1,1,0.007092199,0.084215192
345,3,2,0.021126761,0.187113568
346,8,3,0.057142857,0.312138794
347,12,3,0.083916084,0.384497175
348,1,1,0.00729927,0.085435766
349,1,1,0.00729927,0.085435766
350,7,2,0.051470588,0.252977907
351,10,2,0.073529412,0.28886375
352,8,2,0.060606061,0.269508338
353,3,1,0.0234375,0.151882868
354,1,1,0.007936508,0.089087081
355,1,1,0.007936508,0.089087081
356,1,1,0.008,0.089442719
357,3,1,0.024,0.153664906
358,16,2,0.129032258,0.422299973
359,37,3,0.296,0.635305362
360,199,4,1.658333333,1.163129893
361,6,1,0.031746032,0.175788857
362,8,2,0.041884817,0.225539371
363,10,2,0.054347826,0.271169515
364,12,2,0.064516129,0.305143355
365,1,1,0.005555556,0.074535599
366,1,1,0.005555556,0.074535599
367,1,1,0.005586592,0.074743509
368,1,1,0.005586592,0.074743509
369,18,3,0.101123596,0.384588527
370,20,3,0.109289617,0.404739827
371,2,1,0.011627907,0.10751701
372,2,1,0.011627907,0.10751701
373,10,2,0.058823529,0.259856181
374,10,2,0.058823529,0.259856181
375,1,1,0.006024096,0.077615053
376,1,1,0.006024096,0.077615053
377,2,1,0.012121212,0.109760204
378,2,1,0.012121212,0.109760204
379,9,2,0.055214724,0.277811859
380,12,2,0.073170732,0.324102832
381,1,1,0.006369427,0.079808688
382,1,1,0.006369427,0.079808688
383,14,2,0.08974359,0.328668769
384,1,1,0.006410256,0.080064077
385,19,2,0.120253165,0.396763899
386,2,1,0.013333333,0.115081918
387,2,1,0.013333333,0.115081918
388,2,1,0.013513514,0.115851564
389,2,1,0.013513514,0.115851564
390,1,1,0.006849315,0.082760589
391,1,1,0.006849315,0.082760589
392,8,3,0.055172414,0.30685027
393,14,3,0.095238095,0.394019215
394,13,3,0.090909091,0.391981081
395,12,3,0.086330935,0.425321948
396,10,3,0.074074074,0.337453803
397,22,5,0.164179104,0.590578025
398,49,5,0.376923077,0.790107289
399,1,1,0.008196721,0.090535746
400,1,1,0.008196721,0.090535746
401,239,7,1.852713178,1.398105723
402,3,2,0.01754386,0.170593573
403,3,2,0.01754386,0.170593573
404,6,2,0.035087719,0.21405708
405,6,2,0.035087719,0.21405708
406,1,1,0.00591716,0.076923077
407,1,1,0.00591716,0.076923077
408,1,1,0.005952381,0.077151675
409,1,1,0.005952381,0.077151675
410,7,1,0.041916168,0.201000312
411,13,2,0.076923077,0.327326835
412,1,1,0.00617284,0.07856742
413,1,1,0.00617284,0.07856742
414,12,2,0.074074074,0.306362258
415,10,2,0.06097561,0.26434598
416,1,1,0.006329114,0.079555728
417,1,1,0.006329114,0.079555728
418,1,1,0.006369427,0.079808688
419,1,1,0.006369427,0.079808688
420,8,2,0.051282051,0.248735429
421,10,2,0.063694268,0.292678363
422,5,1,0.033557047,0.180693386
423,5,1,0.033333333,0.180106854
424,1,1,0.006849315,0.082760589
425,9,2,0.061643836,0.292965874
426,14,2,0.095890411,0.377446358
427,1,1,0.007142857,0.084515425
428,1,1,0.007142857,0.084515425
429,11,2,0.078014184,0.339556896
430,7,2,0.051094891,0.252084483
431,1,1,0.007407407,0.086066297
432,1,1,0.007407407,0.086066297
433,4,1,0.029850746,0.170813996
434,1,1,0.007518797,0.086710997
435,1,1,0.007518797,0.086710997
436,4,1,0.03030303,0.172072856
437,7,2,0.053846154,0.258545078
438,22,2,0.171875,0.454364227
439,287,10,2.157894737,1.48651568
440,4,1,0.020725389,0.14283401
441,4,1,0.020725389,0.14283401
442,7,1,0.036649215,0.188392864
443,9,2,0.046632124,0.234746216
444,1,1,0.005347594,0.073127242
445,1,1,0.005347594,0.073127242
446,7,2,0.037634409,0.217312319
447,9,2,0.04787234,0.25925798
448,2,1,0.010869565,0.103971961
449,2,1,0.010869565,0.103971961
450,15,2,0.082417582,0.330441997
