Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,114,6526,26,83,78.626506,251.000000,2491,15,405,6526,26,352,18.539773,251.000000,2000,58
2,1,133,6526,39,84,77.690476,167.333333,2491,15,410,6526,20,350,18.645714,326.300000,2000,96
3,1,148,6526,51,84,77.690476,127.960784,2491,15,419,6526,18,348,18.752874,362.555556,2000,96
4,1,161,6526,61,84,77.690476,106.983607,2491,15,416,6526,17,349,18.699140,383.882353,2000,110
5,1,165,6526,65,84,77.690476,100.400000,2491,15,418,6526,15,352,18.539773,435.066667,2000,119
6,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
7,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
8,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
9,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
10,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
15,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
20,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
25,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
30,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
35,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
40,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
45,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
50,1,165,6526,65,84,77.690476,100.400000,2491,15,421,6526,14,352,18.539773,466.142857,2000,122
