Epoch,Total Events,Max events per LP,Min events per LP,Mean,Std Dev,Fifty,Seventy five,Total LP
0,579,8,0,5.411214953271029,2.382931724641433,37,61,1000
1,1691,34,0,3.878440366972475,4.214522604085046,88,177,1000
2,2581,39,0,4.982625482625488,4.967368105762864,97,204,1000
3,3013,37,0,5.631775700934579,5.400870337180289,102,209,1000
4,2968,44,0,5.600000000000003,5.3266104445488915,109,206,1000
5,2665,27,0,5.246062992125979,4.709770390594307,101,206,1000
6,2505,34,0,5.218750000000004,4.918125321764843,95,176,1000
7,2440,29,0,4.9193548387096815,4.448759716737859,101,199,1000
8,2448,26,0,4.925553319919516,4.572499641271663,97,192,1000
9,2575,28,0,5.029296875000002,4.790434154357089,98,199,1000
10,2504,40,0,5.007999999999995,4.460911955076216,108,208,1000
11,2207,27,0,4.736051502145925,4.398077374363739,89,188,1000
12,2259,29,0,4.868534482758618,4.659225411260291,90,169,1000
13,2563,38,0,4.90996168582376,5.08634999154925,100,202,1000
14,2645,28,0,5.453608247422682,4.6975037738906575,100,196,1000
15,2433,61,0,4.798816568047338,4.853074346487109,105,202,1000
16,2083,18,0,4.330561330561334,3.805270672709748,96,195,1000
17,1991,32,0,4.545662100456619,4.015013802048843,92,177,1000
18,2237,34,0,4.77991452991453,4.606654528567346,92,181,1000
19,2525,34,0,4.97047244094488,4.9059310975746735,98,199,1000
20,2542,33,0,5.114688128772632,4.665950525646644,100,201,1000
21,2474,31,0,5.16492693110647,4.872424922822414,93,181,1000
22,2399,43,0,4.694716242661453,4.690912310167054,102,203,1000
23,2431,34,0,5.043568464730299,4.913405029706721,88,187,1000
24,2524,48,0,4.929687499999993,5.433005739907055,90,182,1000
25,2494,38,0,5.028225806451615,4.584031316265674,102,207,1000
26,2327,30,0,5.036796536796539,4.516149488387537,97,188,1000
27,2298,28,0,4.92077087794433,4.598485597535136,92,179,1000
28,2591,32,0,5.060546875000002,4.829605990678301,98,195,1000
29,2743,36,0,5.175471698113207,4.965796267952587,104,208,1000
30,2435,34,0,4.774509803921567,4.53735177764824,102,203,1000
31,2088,28,0,4.811059907834101,4.296866819313283,89,179,1000
32,2054,40,0,4.544247787610613,4.333163775130307,90,184,1000
33,2232,24,0,4.630705394190872,4.040405477728873,101,200,1000
34,2471,31,0,5.084362139917695,4.6434836620936535,100,194,1000
35,2506,34,0,4.962376237623767,4.834623216330174,98,198,1000
36,2406,52,0,4.930327868852465,4.7204459703741755,99,203,1000
37,2268,28,0,4.887931034482759,4.4658948572982515,93,180,1000
38,2139,28,0,4.531779661016952,4.201284634465719,95,196,1000
39,2017,38,0,4.492204899777286,4.116664390975097,90,189,1000
40,1956,24,0,4.415349887133184,3.7160455617660335,95,188,1000
41,2138,29,0,4.597849462365589,4.09946323480239,98,185,1000
42,2551,35,0,5.174442190669371,4.949131066789917,97,191,1000
43,2673,40,0,5.110898661567878,4.869871381787351,108,213,1000
44,2533,22,0,5.055888223552892,4.672137654166562,96,190,1000
45,2389,31,0,4.925773195876294,4.650452709468082,98,194,1000
46,2272,26,0,4.694214876033058,4.118519453383,102,200,1000
47,2338,29,0,4.752032520325204,4.422159522463823,96,194,1000
48,2458,41,0,5.089026915113871,4.794354356787179,95,193,1000
49,2332,34,0,4.528155339805822,4.5404240849026705,97,208,1000
50,2101,20,0,4.841013824884797,4.247001374945888,88,173,1000
51,2050,30,0,4.380341880341884,4.103661900834167,98,190,1000
52,2137,19,0,4.665938864628821,3.7713327996836656,102,195,1000
53,2370,26,0,5.140997830802605,4.646605853597974,94,179,1000
54,2460,50,0,4.842519685039374,5.084958981137255,92,197,1000
55,2406,30,0,5.044025157232705,4.5986103746150375,96,193,1000
56,2214,34,0,4.7408993576017116,4.410689517755499,96,188,1000
57,2191,21,0,4.825991189427314,4.1636642526448036,94,185,1000
58,2440,37,0,5.158562367864698,4.790330086289957,95,186,1000
59,2504,33,0,4.751423149905122,4.933480795712939,101,202,1000
60,2298,29,0,4.577689243027891,4.051186987418595,103,209,1000
61,2226,28,0,4.9030837004405265,4.530430755660092,88,174,1000
62,2395,30,0,4.733201581027664,4.631998523708863,96,195,1000
63,2573,34,0,5.0352250489236825,4.796928336848649,99,198,1000
64,2510,40,0,5.009980039920159,4.545976264742355,103,203,1000
65,2384,28,0,5.137931034482761,4.699885668797603,91,185,1000
66,2304,42,0,4.608000000000003,4.657221857595121,96,197,1000
67,2221,36,0,4.725531914893611,4.182304487385548,100,193,1000
68,2331,26,0,4.980769230769229,4.604910079189799,93,179,1000
69,2427,40,0,4.993827160493825,4.7322062772534865,99,192,1000
