Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,184,23456,38,147,159.564626,617.263158,50041,20,3109,23456,38,2804,8.365193,617.263158,49999,390
2,1,198,23456,50,145,161.765517,469.120000,50041,19,3109,23456,26,2854,8.218641,902.153846,49999,757
3,1,215,23456,63,145,161.765517,372.317460,50041,19,3111,23456,24,2927,8.013666,977.333333,49999,664
4,1,227,23456,75,145,161.765517,312.746667,50041,19,3111,23456,23,2856,8.212885,1019.826087,49999,757
5,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
6,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
7,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
8,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
9,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
10,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
15,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
20,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
25,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
30,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
35,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
40,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
45,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
50,1,227,23456,75,145,161.765517,312.746667,50041,19,3110,23456,20,2856,8.212885,1172.800000,49999,778
