Link Delay,Node Delay,Link Total Time,Link Total Event,Link Total Epoch,Link CPA,Link Concurrency(CPA),Link Concurrency (YAWN),Link LP Count,Link Max events per LP per epoch,Node Total Time,Node Total Event,Node Total Epoch,Node CPA,Node Concurrecy (CPA),Node Concurrency (YAWN),Node LP Count,Node Max events per LP per epoch
1,1,110,39112,26,68,575.176471,1504.307692,72208,17,2134,39112,26,2039,19.181952,1504.307692,50000,399
2,1,127,39112,37,68,575.176471,1057.081081,72208,15,2135,39112,19,2052,19.060429,2058.526316,50000,729
3,1,141,39112,47,68,575.176471,832.170213,72208,15,2134,39112,17,2055,19.032603,2300.705882,50000,568
4,1,153,39112,56,68,575.176471,698.428571,72208,15,2134,39112,16,2074,18.858245,2444.500000,50000,729
5,1,161,39112,64,68,575.176471,611.125000,72208,15,2135,39112,16,2074,18.858245,2444.500000,50000,770
6,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
7,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
8,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
9,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
10,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
15,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
20,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
25,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
30,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
35,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
40,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
45,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
50,1,161,39112,64,68,575.176471,611.125000,72208,15,2133,39112,14,2074,18.858245,2793.714286,50000,806
